Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,QSR,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-08-23,27,58,40,37,66,23,51,15,45,51,50
2020-08-22,37,55,54,54,82,25,52,54,64,75,50
2020-08-21,56,61,73,69,108,78,64,69,91,73,150
2020-08-20,44,15,56,53,0,80,65,23,100,65,150
2020-08-19,49,45,57,53,95,76,60,31,100,62,150
2020-08-18,44,58,55,58,108,69,58,31,64,68,150
2020-08-17,40,67,44,64,74,63,53,8,73,67,400
2020-08-16,30,42,39,59,58,29,47,8,127,36,100
2020-08-15,45,33,47,74,76,33,54,23,64,39,150
2020-08-14,53,85,50,60,63,86,60,46,182,64,0
2020-08-13,51,79,48,81,0,72,56,38,91,53,100
2020-08-12,45,45,57,58,74,73,64,23,82,43,50
2020-08-11,45,42,43,81,61,74,54,31,64,43,50
2020-08-10,48,45,45,54,58,71,49,23,109,40,50
2020-08-09,25,55,43,68,79,18,59,38,27,59,50
2020-08-08,39,67,70,76,87,32,65,54,82,104,100
2020-08-07,54,70,74,63,126,67,74,31,73,109,100
2020-08-06,49,52,67,65,0,61,61,69,91,70,100
2020-08-05,40,42,53,67,108,67,61,54,82,77,100
2020-08-04,41,52,57,60,113,70,57,38,109,71,150
2020-08-03,44,45,54,59,74,69,64,38,55,79,50
2020-08-02,24,27,53,60,97,17,60,31,64,67,50
2020-08-01,36,48,64,63,171,24,69,8,45,83,0
2020-07-31,48,45,88,68,182,86,73,115,91,106,0
2020-07-30,48,55,74,69,0,75,81,15,55,82,50
2020-07-29,38,70,64,54,134,77,64,23,82,67,100
2020-07-28,37,64,66,88,87,70,70,69,118,88,200
2020-07-27,39,67,73,71,84,61,71,23,73,76,200
2020-07-26,24,52,47,49,55,17,51,23,55,61,100
2020-07-25,35,70,72,60,113,27,65,62,64,106,50
2020-07-24,40,79,60,68,53,64,61,69,45,74,0
2020-07-23,31,91,67,50,0,64,75,77,91,92,100
2020-07-22,29,85,70,73,92,77,72,54,73,77,100
2020-07-21,42,52,67,73,118,63,64,23,127,85,100
2020-07-20,41,58,53,78,105,72,49,31,64,65,100
2020-07-19,24,52,40,82,63,23,58,15,45,66,100
2020-07-18,34,100,73,78,95,27,59,62,109,80,0
2020-07-17,43,70,71,68,63,67,70,46,136,96,150
2020-07-16,40,76,77,72,0,72,69,38,145,92,0
2020-07-15,43,48,74,78,97,68,54,15,73,59,100
2020-07-14,42,97,63,65,79,70,61,38,55,81,150
2020-07-13,36,91,63,53,87,65,51,23,36,82,0
2020-07-12,30,64,42,69,84,19,52,31,9,69,50
2020-07-11,29,91,83,81,100,31,71,77,82,87,100
2020-07-10,33,91,67,67,103,74,74,38,109,80,0
2020-07-09,37,61,61,92,0,71,60,31,82,67,100
2020-07-08,40,73,57,99,87,63,64,108,82,66,100
2020-07-07,36,45,48,86,63,54,64,15,91,50,100
2020-07-06,35,70,57,76,71,45,60,38,91,55,250
2020-07-05,29,58,58,87,50,23,48,62,18,64,50
2020-07-04,37,73,60,91,74,29,60,100,36,86,50
2020-07-03,34,67,94,105,92,77,64,85,91,101,200
2020-07-02,43,73,80,79,0,82,76,100,91,80,50
2020-07-01,40,64,72,72,76,74,71,54,109,78,150
2020-06-30,40,42,75,85,100,58,63,23,118,75,150
2020-06-29,36,79,56,83,53,67,57,31,118,64,200
2020-06-28,19,64,53,74,74,23,55,46,55,59,50
2020-06-27,37,73,67,74,61,29,69,62,36,94,150
2020-06-26,35,52,56,94,82,54,60,77,118,76,200
2020-06-25,39,79,62,81,0,71,75,69,109,76,200
2020-06-24,32,48,57,91,89,52,51,46,127,60,100
2020-06-23,37,70,53,83,79,55,62,23,118,69,150
2020-06-22,36,79,57,73,84,46,70,38,118,65,50
2020-06-21,34,85,54,69,61,23,52,23,55,87,200
2020-06-20,28,88,66,87,61,32,71,46,118,75,150
2020-06-19,46,61,51,92,76,75,66,15,155,72,200
2020-06-18,36,61,71,91,0,76,68,23,136,92,50
2020-06-17,35,67,63,81,84,57,59,23,155,78,100
2020-06-16,44,45,73,64,84,71,56,38,82,61,200
2020-06-15,28,79,45,63,39,77,56,38,73,62,150
2020-06-14,18,91,43,68,39,19,50,8,82,45,200
2020-06-13,26,100,77,63,95,20,64,69,82,77,50
2020-06-12,38,97,89,101,100,82,70,38,136,93,0
2020-06-11,40,103,66,72,0,66,65,54,109,72,100
2020-06-10,30,55,63,81,92,56,50,46,91,67,200
2020-06-09,29,64,45,67,47,68,45,31,118,36,50
2020-06-08,37,79,44,74,55,85,61,15,100,36,250
2020-06-07,17,39,27,74,26,18,38,15,36,22,50
2020-06-06,34,61,58,65,47,27,63,54,127,46,150
2020-06-05,33,52,50,62,53,81,60,23,155,47,150
2020-06-04,29,48,50,63,0,68,50,8,82,38,100
2020-06-03,25,67,39,46,37,71,54,38,64,33,100
2020-06-02,24,58,40,28,16,58,41,31,136,30,100
2020-06-01,27,67,59,36,34,71,55,54,155,57,50
2020-05-31,39,61,68,63,92,23,68,138,82,75,50
2020-05-30,25,52,79,83,121,28,71,23,73,93,0
2020-05-29,32,64,88,96,66,79,77,46,109,112,100
2020-05-28,34,30,57,62,0,67,72,23,109,76,100
2020-05-27,25,55,80,83,97,62,64,8,82,80,300
2020-05-26,29,67,80,71,105,68,75,38,118,97,250
2020-05-25,23,73,67,78,79,63,64,62,109,77,100
2020-05-24,25,58,70,121,113,23,70,38,91,72,150
2020-05-23,22,103,87,99,108,30,77,46,109,87,50
2020-05-22,31,52,92,100,142,70,86,23,136,99,200
