Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-05,14,9,79,13,114,0,81,55,64,40,34,44
2020-04-04,36,18,74,13,144,0,98,75,87,60,37,53
2020-04-03,42,36,83,27,92,42,104,78,95,40,34,56
2020-04-02,32,18,83,27,97,44,99,64,101,80,50,49
2020-04-01,42,27,82,13,86,44,104,62,71,80,55,46
2020-03-31,30,0,59,27,78,40,77,60,83,20,42,42
2020-03-30,42,9,63,40,89,40,86,70,88,100,47,50
2020-03-29,23,9,50,0,58,0,58,53,47,80,21,40
2020-03-28,32,9,70,7,94,0,76,63,80,60,32,48
2020-03-27,33,18,74,33,103,43,93,72,74,0,63,55
2020-03-26,24,9,81,33,89,43,88,56,82,120,55,49
2020-03-25,35,9,85,33,78,46,105,64,98,20,53,49
2020-03-24,47,9,74,40,61,45,97,62,91,20,53,43
2020-03-23,50,18,65,40,86,42,92,57,87,20,47,41
2020-03-22,38,18,54,40,58,0,64,40,59,120,32,35
2020-03-21,24,9,73,20,86,0,94,50,59,80,42,48
2020-03-20,44,18,73,47,128,44,132,75,96,40,53,60
2020-03-19,62,9,82,53,133,56,108,65,90,100,79,64
2020-03-18,58,27,79,47,128,57,118,70,91,60,71,66
2020-03-17,71,27,77,80,119,63,118,64,95,40,116,71
2020-03-16,91,100,100,93,225,83,173,89,128,100,116,89
2020-03-15,48,155,87,40,189,0,141,88,80,40,87,106
2020-03-14,70,100,112,53,222,0,157,99,102,140,118,107
2020-03-13,117,136,104,100,278,111,174,105,127,160,97,94
2020-03-12,138,18,106,120,114,107,150,101,95,60,108,90
2020-03-11,150,45,99,187,92,103,139,102,92,80,100,78
2020-03-10,142,18,105,60,117,102,128,98,110,60,84,84
2020-03-09,164,91,96,133,117,105,125,100,105,80,103,84
2020-03-08,50,145,103,7,150,0,128,95,125,140,79,127
2020-03-07,80,127,127,67,94,0,137,103,107,160,118,118
2020-03-06,139,100,111,147,94,110,140,119,114,160,150,100
2020-03-05,141,64,112,173,89,112,126,109,114,140,121,82
2020-03-04,141,45,105,133,92,109,129,104,106,40,111,82
2020-03-03,144,64,97,127,64,109,136,114,109,60,145,83
2020-03-02,165,91,98,167,92,109,133,100,105,60,63,89
2020-03-01,62,227,115,33,119,0,113,98,96,80,92,120
2020-02-29,67,118,137,120,89,0,144,119,109,160,129,128
2020-02-28,152,127,140,120,114,126,163,122,106,120,116,100
2020-02-27,136,45,109,147,100,119,119,107,104,140,150,86
2020-02-26,152,9,111,107,97,100,100,96,88,80,124,78
2020-02-25,135,27,93,153,81,108,107,95,97,60,137,90
2020-02-24,139,45,92,187,81,109,117,89,112,100,168,85
2020-02-23,56,273,108,13,111,0,93,96,107,80,79,109
2020-02-22,86,118,125,73,81,0,112,107,105,200,84,121
2020-02-21,139,164,140,80,86,118,109,120,148,100,118,89
2020-02-20,144,36,99,120,86,119,105,97,101,60,126,87
2020-02-19,148,45,96,133,169,108,117,86,97,20,132,84
2020-02-18,120,9,96,133,97,105,99,91,104,120,108,77
2020-02-17,109,36,101,127,92,87,93,90,89,60,58,79
2020-02-16,47,155,101,60,136,0,77,91,76,120,61,112
2020-02-15,85,236,135,80,106,0,96,101,108,180,82,108
2020-02-14,112,109,124,100,111,107,135,106,90,40,103,95
2020-02-13,139,9,100,160,86,109,108,99,108,60,103,74
2020-02-12,147,9,98,207,133,108,94,95,101,100,84,78
2020-02-11,148,18,92,173,131,113,101,96,98,100,92,82
2020-02-10,114,82,94,173,133,109,108,100,102,100,121,82
2020-02-09,30,100,81,33,142,0,82,78,76,160,95,86
2020-02-08,64,109,116,40,103,0,101,106,99,200,113,111
2020-02-07,120,55,123,120,111,110,100,110,101,60,100,93
2020-02-06,132,18,92,120,81,110,92,88,117,60,121,74
2020-02-05,138,27,88,120,86,113,93,103,113,120,113,78
2020-02-04,108,36,82,113,119,108,90,105,94,160,113,84
2020-02-03,136,82,83,113,125,110,108,99,101,160,97,89
2020-02-02,45,236,88,27,161,0,79,99,88,100,61,112
2020-02-01,55,118,116,80,142,0,98,121,125,140,132,111
2020-01-31,109,273,113,120,106,111,118,117,137,160,121,99
2020-01-30,130,27,102,147,86,106,88,100,131,120,118,90
2020-01-29,144,55,102,120,114,104,97,96,102,60,113,84
2020-01-28,132,36,86,120,92,104,98,117,94,140,113,88
2020-01-27,126,91,90,100,86,103,98,106,63,140,121,80
2020-01-26,27,155,83,13,117,0,73,79,60,200,71,96
2020-01-25,53,145,120,87,106,0,79,111,92,140,118,99
2020-01-24,86,227,95,87,61,101,94,108,103,80,89,91
2020-01-23,85,27,77,127,67,83,68,79,93,60,95,73
2020-01-22,98,27,98,187,78,83,84,91,82,100,100,89
2020-01-21,124,64,103,153,78,94,83,88,89,140,124,81
2020-01-20,73,300,71,73,89,50,82,81,77,200,37,69
2020-01-19,41,191,68,47,119,0,84,72,62,100,68,82
2020-01-18,64,182,98,87,119,0,90,92,91,120,111,91
2020-01-17,86,64,94,100,117,107,94,113,79,120,113,84
2020-01-16,124,9,95,127,86,105,79,91,79,140,126,84
2020-01-15,127,36,106,133,89,107,93,92,123,60,111,91
2020-01-14,106,36,78,120,83,89,93,85,130,20,103,84
2020-01-13,123,145,78,140,106,97,97,96,91,120,92,103
2020-01-12,30,400,83,20,83,0,66,71,63,200,76,115
2020-01-11,53,227,89,53,83,0,87,91,66,160,92,132
2020-01-10,106,555,105,73,125,102,84,161,138,120,92,143
2020-01-09,95,73,91,120,81,90,95,165,113,140,89,129
2020-01-08,102,18,82,120,92,92,83,96,87,40,79,136
2020-01-07,97,18,88,127,83,88,90,96,83,160,87,121
2020-01-06,124,136,91,133,103,97,105,101,140,220,84,145
2020-01-05,36,318,99,20,72,0,77,90,70,120,47,145
2020-01-04,64,136,120,67,75,0,93,89,95,160,103,154
2020-01-03,97,73,120,100,125,87,110,130,144,240,74,147
2020-01-02,89,45,103,107,122,86,97,102,110,100,92,137
2020-01-01,35,27,70,0,11,40,62,79,87,60,45,85
2019-12-31,65,36,107,67,167,65,114,96,105,140,68,133
2019-12-30,76,82,93,73,122,64,85,90,112,140,95,141
