Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-30,12,3,16,26,18,5,15,0,25,35
2020-04-29,13,8,9,20,9,5,11,0,23,30
2020-04-28,14,8,6,23,24,6,18,0,27,37
2020-04-27,13,11,6,24,9,13,16,0,26,33
2020-04-26,6,5,1,16,1,5,5,20,15,13
2020-04-25,11,11,3,15,0,6,4,0,14,12
2020-04-24,13,6,12,26,12,6,19,20,25,34
2020-04-23,13,8,7,33,21,9,13,0,24,33
2020-04-22,16,11,11,22,28,17,13,20,23,32
2020-04-21,16,10,9,25,26,9,19,20,25,33
2020-04-20,17,8,13,23,28,6,23,0,24,32
2020-04-19,9,3,1,13,3,3,7,20,13,11
2020-04-18,11,15,3,17,12,5,11,0,17,15
2020-04-17,17,6,12,21,31,9,17,40,23,28
2020-04-16,19,4,12,17,25,5,17,20,24,27
2020-04-15,13,6,8,22,31,11,11,0,22,25
2020-04-14,16,6,7,20,25,13,13,0,22,27
2020-04-13,13,6,7,20,18,16,14,0,23,29
2020-04-12,8,3,4,15,4,3,3,0,11,10
2020-04-11,13,18,1,15,4,3,6,0,14,13
2020-04-10,16,3,5,27,15,13,15,0,24,30
2020-04-09,19,9,5,24,28,9,17,0,24,30
2020-04-08,15,10,7,25,22,11,15,40,23,28
2020-04-07,18,4,12,23,16,16,13,20,26,31
2020-04-06,17,4,11,26,13,13,14,0,24,27
2020-04-05,7,5,3,15,7,2,4,0,12,10
2020-04-04,13,23,3,13,3,3,3,0,14,12
2020-04-03,15,10,13,28,13,16,20,0,28,34
2020-04-02,18,11,9,36,10,17,19,20,25,30
2020-04-01,16,4,17,53,21,6,19,0,28,33
2020-03-31,13,6,14,61,16,6,19,0,29,29
2020-03-30,20,8,14,56,24,11,17,0,29,32
2020-03-29,9,1,3,46,22,5,3,0,13,9
2020-03-28,10,13,4,50,16,5,5,0,16,12
2020-03-27,14,8,14,60,24,8,11,20,29,33
2020-03-26,18,6,10,61,24,16,22,0,31,35
2020-03-25,18,8,14,66,25,22,24,20,35,36
2020-03-24,17,9,9,55,28,13,23,20,32,30
2020-03-23,21,6,9,27,21,3,22,0,30,29
2020-03-22,13,8,1,18,15,2,2,0,13,10
2020-03-21,11,20,5,19,16,3,6,0,15,11
2020-03-20,27,5,14,35,41,20,42,20,43,41
2020-03-19,35,18,26,49,43,23,42,40,54,56
2020-03-18,44,20,29,52,34,23,40,60,58,60
2020-03-17,48,36,38,66,44,33,50,40,69,72
2020-03-16,65,40,59,88,78,48,74,20,90,99
2020-03-15,30,25,6,41,24,13,8,0,34,29
2020-03-14,46,64,15,56,18,14,14,0,46,38
