Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-17,69,71,90,198,87,74,86,90,114,44,95,0
2020-10-16,77,79,96,153,79,125,77,91,112,67,93,0
2020-10-15,48,72,89,119,66,106,73,81,84,70,83,0
2020-10-14,47,61,88,121,61,99,67,74,98,77,81,0
2020-10-13,56,58,74,116,63,108,67,72,91,71,77,0
2020-10-12,41,53,73,128,70,83,55,74,83,48,81,0
2020-10-11,40,46,45,143,75,31,58,64,89,21,61,0
2020-10-10,61,76,69,140,90,62,74,91,107,43,91,0
2020-10-09,60,69,84,140,72,106,72,89,110,74,84,0
2020-10-08,69,83,80,90,63,123,66,88,93,56,81,0
2020-10-07,48,71,82,121,63,114,71,81,98,65,80,0
2020-10-06,51,68,79,113,65,95,66,77,87,70,75,0
2020-10-05,39,59,82,143,68,86,61,84,86,69,78,0
2020-10-04,55,49,47,162,84,41,68,71,97,33,68,0
2020-10-03,58,67,63,129,89,51,73,82,106,42,88,0
2020-10-02,58,83,95,113,76,97,73,92,103,63,84,0
2020-10-01,52,78,86,128,65,97,70,88,85,70,81,0
2020-09-30,66,72,96,125,67,147,74,83,94,73,82,0
2020-09-29,53,56,69,119,68,112,67,75,95,65,76,0
2020-09-28,44,58,73,128,72,79,68,73,82,72,78,0
2020-09-27,48,49,58,124,78,32,56,74,94,27,66,0
2020-09-26,50,72,65,181,83,55,65,87,100,27,80,0
2020-09-25,56,89,82,119,65,96,73,90,105,58,81,0
2020-09-24,54,62,74,131,65,115,66,80,96,85,80,0
2020-09-23,48,74,89,142,64,102,61,78,109,72,76,0
2020-09-22,45,61,75,140,62,111,67,67,94,55,76,0
2020-09-21,39,57,76,119,56,75,61,66,86,50,73,0
2020-09-20,36,48,67,146,70,33,59,64,82,34,65,0
2020-09-19,38,61,62,164,76,43,70,91,109,60,85,0
2020-09-18,51,74,86,143,69,92,69,86,95,63,79,0
2020-09-17,43,60,77,121,61,71,51,73,77,58,78,0
2020-09-16,48,68,80,116,64,86,65,76,101,77,78,0
2020-09-15,41,60,78,143,63,96,60,70,82,64,73,0
2020-09-14,42,53,68,135,69,85,68,72,87,60,77,0
2020-09-13,49,59,59,155,67,42,69,72,98,29,67,0
2020-09-12,42,74,65,182,85,62,80,81,115,50,92,0
2020-09-11,62,81,85,137,72,106,74,93,126,84,87,0
2020-09-10,48,80,90,137,64,108,78,78,90,65,83,0
2020-09-09,51,69,86,125,69,82,71,77,105,57,88,0
2020-09-08,50,69,79,142,74,89,78,79,89,66,88,0
2020-09-07,36,45,61,164,83,45,59,64,92,23,75,0
2020-09-06,34,48,55,178,79,30,65,68,102,28,69,0
2020-09-05,47,80,79,184,81,52,83,82,107,43,92,0
2020-09-04,64,90,88,151,86,115,79,103,109,56,102,0
2020-09-03,53,72,94,151,70,110,72,92,105,56,87,0
2020-09-02,47,70,100,127,73,114,73,80,112,70,89,0
2020-09-01,42,70,88,135,72,97,67,88,99,52,88,0
2020-08-31,29,49,80,129,68,82,78,80,88,50,93,0
2020-08-30,25,56,49,148,75,34,61,65,95,21,66,0
2020-08-29,53,75,51,161,76,58,80,79,118,38,83,0
2020-08-28,45,65,78,96,62,97,67,85,86,65,72,0
2020-08-27,49,77,75,119,69,87,67,91,103,60,81,0
2020-08-26,58,67,79,126,70,92,62,81,94,55,80,0
2020-08-25,54,61,76,132,65,108,70,72,98,69,77,0
2020-08-24,59,61,81,135,66,81,73,78,100,48,83,0
2020-08-23,48,54,38,165,69,30,68,64,90,36,63,0
2020-08-22,55,70,69,160,84,69,80,80,110,31,85,0
2020-08-21,61,83,87,151,77,112,67,98,106,65,93,0
2020-08-20,56,75,89,118,76,107,77,84,93,72,86,0
2020-08-19,57,80,84,130,73,114,74,86,104,51,84,0
2020-08-18,52,75,76,144,68,111,74,82,92,59,80,0
2020-08-17,46,69,78,133,74,83,82,90,94,52,87,0
2020-08-16,42,61,59,151,74,36,71,72,95,26,74,0
2020-08-15,46,83,69,146,82,51,92,82,119,43,81,0
2020-08-14,57,81,90,142,77,80,86,99,121,48,89,0
2020-08-13,48,75,83,141,68,90,81,87,88,62,78,0
2020-08-12,48,73,67,137,80,113,78,94,92,62,84,0
2020-08-11,44,74,90,165,62,119,77,100,94,63,86,0
2020-08-10,55,66,71,135,60,98,68,88,94,59,79,0
2020-08-09,37,46,63,154,76,61,72,68,104,29,69,0
2020-08-08,45,69,67,137,80,50,82,84,101,34,84,0
2020-08-07,59,86,78,134,80,86,79,96,101,62,86,0
2020-08-06,54,81,90,127,69,107,66,84,94,49,80,0
2020-08-05,57,69,80,135,71,97,71,94,93,58,81,0
2020-08-04,38,83,76,119,71,92,72,91,88,55,81,0
2020-08-03,41,60,80,129,78,99,76,87,98,53,89,0
2020-08-02,41,68,57,142,87,37,65,75,102,31,72,0
2020-08-01,45,73,58,131,80,51,72,84,108,42,79,0
2020-07-31,49,81,89,121,81,101,79,105,137,48,95,0
2020-07-30,82,85,79,125,76,128,74,96,103,50,91,0
2020-07-29,53,73,85,127,72,87,67,94,101,60,85,0
2020-07-28,54,79,65,116,70,107,67,87,90,70,81,0
2020-07-27,47,75,80,130,73,107,67,88,89,60,87,0
2020-07-26,37,45,43,116,67,37,48,64,72,24,62,0
2020-07-25,56,96,78,167,82,53,84,92,111,28,89,0
2020-07-24,46,76,62,130,64,72,65,81,90,42,76,0
2020-07-23,54,85,80,118,71,124,70,97,94,55,84,0
2020-07-22,49,74,78,119,75,116,66,92,113,53,85,0
2020-07-21,61,82,77,143,76,133,66,90,104,60,84,0
2020-07-20,54,77,69,113,74,94,68,84,97,76,84,0
2020-07-19,52,56,48,134,80,35,57,71,87,30,70,0
2020-07-18,46,75,56,131,81,69,63,87,101,52,81,0
2020-07-17,56,83,73,124,70,94,65,102,97,52,82,0
2020-07-16,54,81,69,165,73,112,62,96,92,67,86,0
2020-07-15,65,79,76,135,71,99,58,92,95,67,87,0
2020-07-14,59,69,78,133,71,99,69,87,95,55,85,0
2020-07-13,48,77,63,132,77,90,71,89,97,49,86,0
2020-07-12,41,57,66,172,83,35,71,78,101,38,82,0
2020-07-11,55,72,65,176,83,57,79,86,104,41,87,0
2020-07-10,60,84,87,133,76,89,72,102,108,66,88,0
2020-07-09,49,71,71,101,82,97,65,84,104,58,83,0
2020-07-08,43,71,78,106,85,100,67,89,102,43,90,0
2020-07-07,34,60,63,93,74,92,58,77,89,50,79,0
2020-07-06,33,67,74,92,83,87,65,89,91,43,87,0
2020-07-05,38,38,44,99,77,46,63,72,99,17,67,0
2020-07-04,27,35,46,155,62,49,44,56,73,27,60,0
2020-07-03,56,77,66,143,101,56,75,105,105,33,103,0
2020-07-02,55,96,73,113,91,92,70,110,113,73,95,0
2020-07-01,44,65,73,100,80,86,66,88,99,40,86,0
2020-06-30,47,64,60,107,74,82,67,91,88,72,82,0
2020-06-29,47,74,75,93,80,92,74,90,96,63,87,0
2020-06-28,39,44,46,100,79,31,62,70,97,43,71,0
2020-06-27,57,64,54,121,85,64,73,85,111,34,84,0
2020-06-26,64,76,80,88,74,75,67,94,112,60,81,0
2020-06-25,69,85,74,81,73,92,70,89,96,69,86,0
2020-06-24,39,74,52,77,72,71,60,74,93,64,79,0
2020-06-23,39,60,60,102,75,109,69,98,90,51,89,0
2020-06-22,41,54,61,87,74,88,60,79,86,59,82,0
2020-06-21,35,52,58,142,75,28,80,68,104,27,71,0
2020-06-20,51,67,59,136,93,43,101,91,101,44,94,0
2020-06-19,52,94,65,132,86,86,79,89,93,60,95,0
2020-06-18,46,80,73,101,80,81,74,94,99,70,92,0
2020-06-17,45,65,69,96,80,81,70,86,91,66,91,0
2020-06-16,53,80,67,104,77,81,77,92,97,77,90,0
2020-06-15,45,79,77,103,90,103,86,93,92,74,94,0
2020-06-14,28,49,46,135,82,39,72,74,96,40,78,0
2020-06-13,48,76,57,110,88,60,91,89,86,50,90,0
2020-06-12,50,78,70,111,85,90,84,101,118,53,106,0
2020-06-11,44,87,63,109,83,90,81,93,98,77,99,0
2020-06-10,44,83,64,103,91,100,68,86,81,55,93,0
2020-06-09,38,76,63,111,75,94,71,84,84,65,89,0
2020-06-08,37,69,55,118,89,110,86,95,80,69,95,0
2020-06-07,22,48,36,123,86,26,75,63,77,23,73,0
2020-06-06,39,89,59,137,88,48,85,92,99,31,100,0
2020-06-05,38,84,66,121,80,83,85,102,103,51,98,0
2020-06-04,34,83,41,85,61,74,74,76,81,65,82,0
2020-06-03,38,60,48,103,61,90,74,75,94,57,83,0
2020-06-02,41,64,50,127,24,92,77,62,77,55,70,0
2020-06-01,44,58,58,154,38,86,48,81,82,60,83,0
2020-05-31,35,45,51,81,32,46,39,65,77,24,57,0
2020-05-30,38,65,67,133,94,51,77,90,110,38,92,0
2020-05-29,41,78,78,120,87,83,86,95,119,55,89,0
2020-05-28,38,61,57,98,87,70,66,79,90,56,86,0
2020-05-27,45,60,63,118,90,86,84,84,96,60,93,0
2020-05-26,46,69,59,112,86,86,75,85,89,51,90,0
2020-05-25,29,52,49,140,90,31,69,66,86,41,81,0
2020-05-24,32,49,53,143,95,34,80,72,96,33,85,0
2020-05-23,30,58,67,135,103,36,77,82,93,40,97,0
2020-05-22,45,75,78,131,91,86,78,95,110,59,97,0
2020-05-21,36,57,71,119,86,83,76,87,103,57,92,0
2020-05-20,36,63,64,121,83,81,84,80,94,66,90,0
2020-05-19,36,65,51,97,85,91,81,79,84,58,88,0
