Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-18,26,37,33,31,33,61,37,38,25,0,27,51,7
2020-10-17,44,62,56,54,67,122,62,51,34,6,43,83,38
2020-10-16,42,51,55,60,58,67,57,40,38,3,41,68,43
2020-10-15,35,33,43,51,37,32,37,31,28,0,32,44,32
2020-10-14,35,31,43,52,47,30,37,27,26,0,31,41,33
2020-10-13,29,28,38,46,39,21,36,28,30,0,31,40,30
2020-10-12,25,26,36,42,41,17,35,28,22,6,29,43,16
2020-10-11,25,34,37,34,46,68,33,30,21,3,30,60,9
2020-10-10,37,60,52,52,53,126,48,41,30,3,43,80,36
2020-10-09,35,49,50,60,54,60,50,36,35,0,41,62,41
2020-10-08,40,32,50,59,43,27,42,29,31,3,34,46,37
2020-10-07,35,32,44,59,44,28,39,24,24,6,32,43,36
2020-10-06,30,34,42,54,49,28,38,28,34,3,31,41,31
2020-10-05,30,31,34,47,43,16,38,24,24,0,31,39,17
2020-10-04,23,32,32,30,37,48,31,34,21,10,29,44,7
2020-10-03,29,44,42,44,48,88,34,36,30,6,41,71,30
2020-10-02,35,42,47,57,53,47,47,36,31,0,43,53,38
2020-10-01,37,28,38,57,42,26,46,33,26,3,36,41,33
2020-09-30,42,32,39,58,45,26,48,27,36,0,35,43,35
2020-09-29,30,26,34,55,36,12,35,25,29,6,33,39,29
2020-09-28,28,23,32,45,41,13,39,25,24,0,32,36,15
2020-09-27,20,35,35,28,35,38,34,37,27,0,31,44,6
2020-09-26,30,46,50,45,51,83,41,44,28,0,44,67,29
2020-09-25,40,47,50,60,49,56,45,37,33,0,44,51,38
2020-09-24,36,31,40,51,42,27,45,37,21,0,38,41,32
2020-09-23,34,29,45,56,42,26,36,27,34,6,36,39,33
2020-09-22,32,33,43,55,49,25,36,25,32,3,36,39,31
2020-09-21,27,25,35,43,34,17,42,26,20,0,31,34,14
2020-09-20,18,31,33,26,32,39,35,25,21,0,29,39,6
2020-09-19,32,47,48,45,50,82,48,40,29,10,41,61,29
2020-09-18,33,38,51,62,51,43,42,29,25,3,41,48,36
2020-09-17,34,31,42,56,42,30,41,28,21,0,38,40,32
2020-09-16,36,37,46,58,35,27,38,31,29,10,40,42,35
2020-09-15,33,30,45,60,38,21,48,27,21,6,37,38,30
2020-09-14,31,26,40,50,37,21,41,28,22,3,35,40,16
2020-09-13,26,37,38,34,45,52,38,34,21,0,35,49,7
2020-09-12,31,45,45,42,48,75,32,38,25,0,38,57,26
2020-09-11,34,43,50,63,50,59,55,33,27,3,42,49,38
2020-09-10,35,31,50,58,43,25,48,32,27,3,38,42,34
2020-09-09,28,31,46,53,44,23,37,31,27,0,37,37,36
2020-09-08,28,25,39,47,35,20,36,31,21,0,34,38,32
2020-09-07,17,30,34,41,37,30,33,30,16,3,35,48,18
2020-09-06,26,41,41,35,38,61,50,42,17,0,37,55,9
