Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-06,39,56,46,106,78,58,"2,500",28,24,42
2020-10-05,9,49,58,91,66,55,"2,300",27,25,40
2020-10-04,26,32,4,56,57,46,"1,300",18,15,21
2020-10-03,22,50,12,74,74,56,"1,100",25,22,28
2020-10-02,39,64,31,112,85,68,"2,700",34,25,45
2020-10-01,43,71,35,82,88,71,"2,800",30,25,46
2020-09-30,30,73,38,123,68,58,"3,200",31,26,46
2020-09-29,17,53,46,95,72,59,"2,800",30,22,44
2020-09-28,4,49,58,64,63,49,"2,000",26,22,40
2020-09-27,9,33,4,91,55,50,600,18,15,20
2020-09-26,9,52,19,79,61,59,"1,800",25,22,26
2020-09-25,9,65,42,127,79,65,"2,300",35,27,46
2020-09-24,17,58,65,95,72,57,"3,000",32,24,46
2020-09-23,26,59,42,108,78,52,"2,000",29,23,43
2020-09-22,22,53,35,115,72,55,"2,500",29,23,44
2020-09-21,13,41,50,88,64,45,"2,300",26,21,38
2020-09-20,26,28,4,63,54,46,"1,600",19,15,20
2020-09-19,43,44,19,104,70,55,"1,000",27,23,28
2020-09-18,52,50,38,94,66,65,"2,000",34,26,45
2020-09-17,17,63,50,82,79,56,"3,100",30,23,43
2020-09-16,30,58,46,118,74,67,"2,300",34,27,48
2020-09-15,30,60,38,100,82,60,"1,700",29,23,45
2020-09-14,17,48,58,112,79,50,"2,500",26,20,40
2020-09-13,30,32,8,68,63,44,"1,400",20,18,23
2020-09-12,39,50,23,63,63,52,"1,200",24,21,27
2020-09-11,26,54,46,99,101,70,"2,400",32,26,44
2020-09-10,22,59,38,78,71,63,"2,600",32,23,46
2020-09-09,35,48,62,97,78,68,"2,400",30,25,44
2020-09-08,22,48,54,74,78,53,"2,700",30,26,49
2020-09-07,17,34,8,81,74,37,"1,800",17,14,20
2020-09-06,39,29,4,50,43,48,"1,400",19,17,21
2020-09-05,39,48,15,83,68,64,600,29,23,28
2020-09-04,43,73,42,100,93,82,"2,400",37,30,53
2020-09-03,22,66,62,109,84,76,"2,900",36,28,71
2020-09-02,22,62,50,112,83,56,"3,100",28,27,48
2020-09-01,26,66,77,101,80,60,"2,100",28,26,47
2020-08-31,39,50,62,77,70,47,"2,000",23,23,40
2020-08-30,30,30,19,88,55,46,"1,100",18,17,25
2020-08-29,35,48,19,82,51,45,"1,400",17,19,26
2020-08-28,35,46,69,88,62,54,"1,500",27,26,46
2020-08-27,65,62,35,88,81,71,"4,200",30,27,54
2020-08-26,35,57,54,104,70,58,"2,300",25,22,44
2020-08-25,43,54,77,91,70,56,"3,200",28,25,48
2020-08-24,30,59,46,124,72,57,"2,600",25,26,43
2020-08-23,17,22,8,71,49,38,"1,800",18,18,25
2020-08-22,22,56,19,88,62,51,"1,400",23,25,33
2020-08-21,52,76,23,112,76,59,"3,600",28,29,46
2020-08-20,43,60,69,108,61,62,"3,900",27,27,44
2020-08-19,61,63,42,112,75,56,"2,800",26,25,45
2020-08-18,17,60,73,101,67,70,"2,900",27,25,48
2020-08-17,26,61,50,106,66,58,"3,400",26,25,44
2020-08-16,22,36,8,73,70,50,"1,500",20,19,29
2020-08-15,65,56,15,87,76,60,"2,500",22,21,31
2020-08-14,26,63,38,108,81,67,"2,100",30,27,53
2020-08-13,35,52,46,105,63,65,"3,400",28,26,48
2020-08-12,65,58,38,101,73,67,"2,600",29,28,49
2020-08-11,30,56,69,105,85,61,"2,800",27,24,47
2020-08-10,30,41,54,96,55,54,"1,700",25,24,44
2020-08-09,35,28,8,86,57,48,"2,500",20,19,28
2020-08-08,39,61,27,74,77,57,"1,200",21,20,32
2020-08-07,52,67,46,115,92,69,"3,900",32,31,56
2020-08-06,30,60,50,110,95,62,"1,800",29,26,49
2020-08-05,48,61,54,114,74,57,"2,500",26,27,45
2020-08-04,43,51,46,85,88,71,"2,200",27,24,43
2020-08-03,26,56,54,71,85,73,"2,700",29,28,48
2020-08-02,39,29,8,82,59,50,"1,400",20,19,29
2020-08-01,22,49,19,77,88,56,"2,200",23,23,33
2020-07-31,52,69,27,118,86,74,"3,300",30,31,49
2020-07-30,30,62,42,105,82,60,"2,900",29,28,52
2020-07-29,22,60,65,88,74,62,"2,300",28,26,47
