Category,Bars,Beauty & Wellness,Parks & Beaches,QSR,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index
2020-05-24,113,83,71,37,79
2020-05-23,88,67,57,107,69
2020-05-22,138,128,83,85,83
2020-05-21,75,50,43,70,71
2020-05-20,100,83,60,41,72
2020-05-19,238,61,66,41,74
2020-05-18,25,67,46,44,74
2020-05-17,38,50,29,37,59
2020-05-16,113,83,49,85,76
2020-05-15,100,72,51,30,81
2020-05-14,25,67,57,37,70
2020-05-13,175,83,46,56,72
2020-05-12,88,44,34,59,64
2020-05-11,38,78,29,30,64
2020-05-10,38,94,63,59,70
2020-05-09,75,122,51,74,76
2020-05-08,100,117,60,59,76
2020-05-07,25,39,43,41,65
2020-05-06,88,72,43,44,68
2020-05-05,50,56,40,33,68
2020-05-04,50,94,54,67,69
2020-05-03,63,83,37,30,64
2020-05-02,150,106,57,37,74
2020-05-01,125,33,40,26,80
2020-04-30,25,72,46,19,66
2020-04-29,125,50,40,19,64
2020-04-28,75,111,43,33,70
2020-04-27,113,94,23,44,67
2020-04-26,138,89,40,26,65
2020-04-25,88,122,54,30,63
2020-04-24,175,100,40,44,74
2020-04-23,175,72,43,41,64
2020-04-22,100,67,26,26,71
2020-04-21,175,61,31,22,68
2020-04-20,50,61,31,19,68
2020-04-19,50,39,49,15,57
2020-04-18,113,122,49,30,72
2020-04-17,50,56,43,11,63
2020-04-16,50,67,31,26,66
2020-04-15,25,50,46,19,61
2020-04-14,113,67,23,52,60
2020-04-13,50,67,23,33,62
2020-04-12,25,56,34,26,56
2020-04-11,88,78,46,30,63
2020-04-10,75,117,49,30,68
2020-04-09,38,61,37,44,59
2020-04-08,50,61,43,33,57
2020-04-07,25,39,46,37,57
2020-04-06,0,50,46,26,58
2020-04-05,0,33,46,30,58
2020-04-04,25,106,40,26,68
2020-04-03,100,72,60,30,78
2020-04-02,50,67,37,26,73
2020-04-01,50,78,46,37,71
2020-03-31,75,56,34,26,69
2020-03-30,63,83,34,26,67
2020-03-29,25,44,29,15,57
2020-03-28,13,67,26,26,57
2020-03-27,38,106,31,37,77
2020-03-26,50,72,29,30,77
2020-03-25,38,106,43,93,70
2020-03-24,50,50,40,30,72
2020-03-23,25,33,26,41,67
2020-03-22,63,56,34,48,53
2020-03-21,38,100,29,30,57
2020-03-20,75,67,40,48,79
2020-03-19,100,44,49,41,77
2020-03-18,0,83,34,26,75
2020-03-17,25,83,106,59,88
2020-03-16,63,89,86,52,93
2020-03-15,25,83,66,41,79
2020-03-14,175,144,69,44,95
2020-03-13,113,117,109,93,102
2020-03-12,163,89,86,59,106
2020-03-11,38,122,91,100,96
2020-03-10,150,100,131,67,98
2020-03-09,100,122,100,59,105
2020-03-08,225,133,111,63,98
2020-03-07,138,117,103,89,98
2020-03-06,200,133,109,81,112
2020-03-05,100,106,106,96,105
2020-03-04,150,111,106,104,104
2020-03-03,150,94,123,59,114
2020-03-02,63,89,137,119,106
2020-03-01,113,100,114,48,97
2020-02-29,200,133,143,59,108
2020-02-28,150,128,166,67,121
2020-02-27,188,100,131,56,105
2020-02-26,100,100,120,115,99
2020-02-25,63,100,103,107,101
2020-02-24,50,106,94,107,97
2020-02-23,88,128,140,74,92
2020-02-22,88,161,109,78,105
2020-02-21,125,200,120,74,108
2020-02-20,25,144,137,67,100
2020-02-19,38,111,129,81,111
2020-02-18,63,100,114,81,106
2020-02-17,25,67,86,63,96
2020-02-16,88,67,106,74,99
2020-02-15,125,106,89,70,96
2020-02-14,200,211,89,100,113
2020-02-13,38,139,137,63,102
2020-02-12,200,111,97,67,107
2020-02-11,113,67,126,59,92
2020-02-10,38,89,89,63,98
2020-02-09,63,67,94,33,87
2020-02-08,150,94,114,63,94
2020-02-07,200,128,140,78,112
2020-02-06,88,50,109,63,103
2020-02-05,113,111,97,104,106
2020-02-04,113,78,86,148,106
2020-02-03,63,106,140,185,99
2020-02-02,113,111,111,126,103
2020-02-01,188,128,129,122,103
2020-01-31,113,78,91,115,117
2020-01-30,50,106,111,159,108
2020-01-29,113,100,111,163,101
2020-01-28,113,94,114,119,101
2020-01-27,63,100,111,111,109
2020-01-26,63,56,51,93,84
2020-01-25,88,111,100,200,100
2020-01-24,88,89,80,104,97
2020-01-23,100,61,66,122,89
2020-01-22,88,83,97,141,91
2020-01-21,75,144,86,148,99
2020-01-20,100,50,69,96,76
2020-01-19,150,44,60,85,78
2020-01-18,88,89,100,107,98
2020-01-17,113,122,117,93,107
2020-01-16,38,89,89,130,122
2020-01-15,50,94,97,122,106
2020-01-14,63,111,54,100,100
2020-01-13,75,89,71,119,95
2020-01-12,50,78,63,119,79
2020-01-11,150,122,71,119,83
2020-01-10,50,139,86,130,113
2020-01-09,150,89,97,122,98
2020-01-08,200,33,69,148,91
2020-01-07,100,33,89,104,91
2020-01-06,63,106,94,196,93
2020-01-05,63,94,106,63,85
2020-01-04,138,156,117,119,129
2020-01-03,150,178,111,122,107
2020-01-02,188,72,94,152,90
2020-01-01,75,50,89,67,78
2019-12-31,150,106,86,85,98
2019-12-30,75,106,97,159,90
