Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-23,58,60,25,15,42,53,73,96,76,39,115
2020-09-22,53,52,19,14,42,50,69,72,75,32,102
2020-09-21,43,52,31,14,34,43,61,73,83,29,89
2020-09-20,41,47,25,11,18,43,69,83,97,10,102
2020-09-19,57,66,6,13,20,52,76,92,107,42,127
2020-09-18,63,65,13,14,31,50,77,89,112,39,110
2020-09-17,60,58,25,4,33,51,65,81,71,39,98
2020-09-16,52,65,38,12,42,52,73,82,93,35,121
2020-09-15,57,57,44,11,47,53,66,83,66,26,107
2020-09-14,51,57,25,12,34,43,60,85,73,42,101
2020-09-13,64,56,50,14,28,39,76,90,119,10,148
2020-09-12,71,77,44,15,23,53,90,89,97,35,119
2020-09-11,47,71,44,14,36,59,79,95,85,39,137
2020-09-10,35,68,25,5,33,49,64,85,88,39,108
2020-09-09,42,63,25,13,31,54,66,88,66,55,124
2020-09-08,42,54,38,17,32,55,71,79,80,39,119
2020-09-07,41,57,44,12,45,57,60,81,75,19,131
2020-09-06,53,53,13,10,20,41,72,85,131,16,121
2020-09-05,55,79,19,11,26,66,86,108,102,32,156
2020-09-04,64,76,19,15,48,66,88,113,98,71,149
2020-09-03,63,72,50,3,47,64,83,102,117,42,128
2020-09-02,65,66,50,13,56,53,69,92,76,48,104
2020-09-01,55,68,19,12,45,62,70,85,90,55,103
2020-08-31,41,62,56,14,46,53,60,75,78,35,114
2020-08-30,37,46,6,7,21,38,60,86,81,58,125
2020-08-29,52,70,19,8,21,48,69,80,107,35,130
2020-08-28,61,58,38,11,39,49,69,94,93,35,111
2020-08-27,55,64,25,3,43,62,71,94,69,61,104
2020-08-26,57,62,38,14,44,52,74,92,83,74,124
2020-08-25,55,66,25,12,44,56,68,78,86,35,98
2020-08-24,46,64,38,14,42,52,62,85,83,35,111
2020-08-23,35,49,19,11,21,39,59,80,81,23,130
2020-08-22,42,72,25,8,28,49,80,98,119,45,155
2020-08-21,60,79,50,14,53,57,82,94,80,45,137
2020-08-20,54,68,19,4,45,49,67,95,92,61,115
2020-08-19,57,66,13,11,44,52,65,88,97,52,132
2020-08-18,55,60,31,12,47,61,65,77,85,71,139
2020-08-17,65,66,31,12,46,48,69,98,61,55,111
2020-08-16,61,54,31,11,23,46,78,97,90,39,154
2020-08-15,58,78,19,14,28,47,90,112,114,26,152
2020-08-14,55,75,44,17,48,62,93,105,92,74,166
2020-08-13,54,67,25,4,45,57,82,103,92,61,146
2020-08-12,52,67,31,16,45,54,79,107,78,39,143
2020-08-11,46,66,31,12,51,52,83,96,80,81,137
2020-08-10,48,58,31,11,44,40,79,92,39,58,129
2020-08-09,55,54,31,10,23,46,77,98,92,32,114
2020-08-08,67,80,25,10,31,57,83,104,147,48,129
2020-08-07,78,74,31,14,56,57,88,119,92,58,128
2020-08-06,55,63,19,4,45,51,86,97,73,39,113
2020-08-05,59,64,38,9,47,49,72,105,75,55,114
2020-08-04,52,58,38,13,46,58,76,100,97,42,102
2020-08-03,51,63,25,13,50,67,84,109,71,48,115
2020-08-02,41,56,13,14,21,55,82,104,108,29,146
2020-08-01,72,71,13,14,25,57,80,106,115,35,132
2020-07-31,54,78,25,14,54,62,94,105,98,58,119
2020-07-30,47,76,25,3,60,46,78,106,76,45,116
2020-07-29,54,60,31,12,42,55,76,117,97,55,118
2020-07-28,55,59,19,14,53,49,76,106,93,58,130
2020-07-27,45,64,44,11,54,48,76,102,78,55,111
2020-07-26,41,40,6,8,21,36,67,84,80,35,87
2020-07-25,75,76,13,12,22,57,87,113,97,61,128
2020-07-24,58,57,13,11,38,49,71,79,63,61,107
2020-07-23,60,58,19,2,46,43,73,93,80,77,113
2020-07-22,46,56,38,14,48,52,77,96,88,58,97
2020-07-21,76,62,19,11,47,58,73,99,102,52,133
2020-07-20,55,52,31,11,42,49,71,96,78,61,114
2020-07-19,41,49,25,11,18,31,75,100,100,32,105
2020-07-18,72,64,44,12,22,52,76,99,100,48,125
2020-07-17,84,60,13,11,52,57,86,100,107,32,102
2020-07-16,63,66,38,2,48,54,77,100,81,58,110
2020-07-15,65,62,44,14,47,52,72,99,81,84,106
2020-07-14,69,55,81,14,52,54,77,73,76,35,127
2020-07-13,69,60,19,12,50,45,72,82,92,58,130
2020-07-12,54,55,19,13,25,57,84,84,81,58,138
2020-07-11,88,70,113,14,25,66,91,107,83,29,137
2020-07-10,69,75,106,18,49,63,90,89,98,58,115
2020-07-09,27,56,81,1,36,59,80,93,83,52,98
2020-07-08,59,64,75,24,42,51,77,81,88,42,130
2020-07-07,54,52,56,19,37,57,72,69,58,42,93
2020-07-06,58,65,63,20,41,54,74,91,61,52,115
2020-07-05,48,50,38,19,20,55,73,84,75,26,120
2020-07-04,49,52,50,14,18,55,61,74,53,26,93
2020-07-03,67,67,125,24,37,65,93,98,97,35,150
2020-07-02,70,68,63,3,41,59,93,93,78,87,120
2020-07-01,73,60,63,23,44,47,85,90,71,100,100
2020-06-30,66,54,44,23,35,56,75,75,76,71,73
2020-06-29,59,61,81,22,39,54,82,84,68,61,76
2020-06-28,52,49,69,17,21,55,71,76,75,32,102
2020-06-27,64,65,100,21,25,53,93,112,115,45,96
2020-06-26,58,57,113,19,31,56,83,88,54,55,75
2020-06-25,49,64,100,3,43,52,79,84,83,48,103
2020-06-24,46,48,75,19,34,43,62,75,53,55,66
2020-06-23,35,62,81,22,42,56,74,93,68,65,80
2020-06-22,46,56,69,22,37,45,70,87,80,71,84
2020-06-21,51,58,50,22,23,65,72,92,124,45,99
2020-06-20,48,76,81,24,27,64,93,98,117,39,100
2020-06-19,72,70,38,23,46,63,89,86,93,39,90
2020-06-18,60,59,75,3,41,59,84,82,83,39,109
2020-06-17,58,58,44,24,45,53,75,82,90,42,98
2020-06-16,46,57,50,20,46,51,80,90,97,55,97
2020-06-15,55,62,63,24,40,47,72,89,83,65,93
2020-06-14,51,48,88,20,23,49,71,95,97,16,95
2020-06-13,55,69,75,22,24,55,91,110,75,55,105
2020-06-12,64,78,38,28,53,51,96,95,124,81,94
2020-06-11,64,66,81,4,49,48,89,100,141,55,101
2020-06-10,49,55,100,23,38,41,84,97,100,68,93
2020-06-09,66,56,100,23,43,31,74,85,105,87,82
2020-06-08,40,59,100,28,55,29,75,79,90,55,126
2020-06-07,65,38,56,23,26,17,64,82,103,32,72
2020-06-06,65,71,119,29,35,32,82,109,29,45,120
2020-06-05,55,72,88,30,50,27,90,106,10,68,122
2020-06-04,45,55,113,4,38,17,69,79,12,55,79
2020-06-03,49,51,88,26,41,16,65,84,15,45,98
2020-06-02,58,46,75,20,35,21,61,72,7,35,81
2020-06-01,49,64,6,24,36,37,77,85,14,87,104
2020-05-31,53,55,50,55,35,52,74,83,14,45,100
2020-05-30,46,66,56,85,37,61,99,90,8,45,99
2020-05-29,45,61,69,77,45,73,100,96,14,84,72
2020-05-28,47,51,38,52,40,64,73,77,10,48,69
2020-05-27,43,59,119,82,50,60,84,97,12,35,107
2020-05-26,43,58,81,84,41,69,83,88,22,55,102
2020-05-25,35,49,56,75,50,55,66,81,8,61,76
2020-05-24,51,46,138,78,38,65,89,76,15,42,102
2020-05-23,40,67,94,88,33,73,100,98,22,55,100
2020-05-22,52,66,113,85,41,59,102,96,27,71,94
2020-05-21,34,59,69,54,43,50,79,91,20,58,83
2020-05-20,39,55,94,80,39,59,78,88,12,58,89
2020-05-19,36,54,44,65,31,57,76,73,17,48,93
2020-05-18,41,49,106,73,38,57,78,87,10,65,91
2020-05-17,36,36,106,68,18,49,68,69,10,42,72
