Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
2021-02-11,23,16,13,152,24,40,27,18,29,20,30,83,30
2021-02-10,27,7,12,152,25,39,22,21,24,22,28,78,23
2021-02-09,29,15,18,155,26,39,25,20,25,20,28,79,23
2021-02-08,21,9,14,126,23,37,21,16,23,19,26,74,26
2021-02-07,10,3,2,29,8,24,2,10,6,9,12,15,8
2021-02-06,16,1,8,64,13,30,4,12,6,20,18,57,12
2021-02-05,22,16,10,140,31,41,21,23,26,24,28,80,28
2021-02-04,24,12,14,159,22,40,19,20,34,21,27,78,28
2021-02-03,28,12,14,162,32,38,26,22,39,19,29,83,24
2021-02-02,23,18,14,164,32,39,19,11,31,17,29,76,23
2021-02-01,26,10,14,116,25,34,20,18,20,15,26,72,25
2021-01-31,8,6,3,36,10,15,3,12,5,9,9,13,5
2021-01-30,18,4,3,62,25,27,7,12,11,18,18,60,12
2021-01-29,28,18,16,150,29,43,18,26,11,25,32,80,27
2021-01-28,26,21,18,174,25,39,23,28,35,21,30,78,27
2021-01-27,24,15,13,171,34,37,25,25,29,15,28,79,21
2021-01-26,21,4,17,131,19,28,18,13,16,15,23,62,17
2021-01-25,25,7,16,138,31,36,19,23,35,15,27,75,25
2021-01-24,16,0,3,38,19,24,5,12,9,10,14,22,10
2021-01-23,26,0,5,81,28,32,7,20,9,18,21,70,14
2021-01-22,28,7,13,145,32,36,25,25,44,24,31,85,27
2021-01-21,23,13,17,150,40,36,20,30,31,24,30,85,27
2021-01-20,21,15,14,119,20,32,17,19,17,20,26,71,18
2021-01-19,24,16,16,205,29,31,25,21,32,15,28,73,21
2021-01-18,20,9,17,147,20,32,18,14,23,24,26,71,24
2021-01-17,13,3,8,83,18,28,6,9,13,16,17,22,10
2021-01-16,18,1,11,105,26,39,6,17,13,27,23,69,14
2021-01-15,27,10,17,197,29,39,11,26,31,19,33,92,29
2021-01-14,28,13,15,167,26,36,17,32,34,19,31,78,27
2021-01-13,24,16,17,166,28,39,29,32,37,18,30,78,22
2021-01-12,25,15,20,181,32,35,24,19,35,19,29,76,22
2021-01-11,26,13,12,150,29,35,23,25,39,17,28,78,26
2021-01-10,11,3,2,33,16,23,3,15,5,13,14,19,9
2021-01-09,15,3,7,36,23,38,6,14,10,27,21,68,14
2021-01-08,24,9,12,105,33,39,11,25,31,23,30,82,26
2021-01-07,23,6,17,117,23,32,22,18,28,23,28,78,25
2021-01-06,26,12,10,121,28,36,27,23,28,30,28,81,21
2021-01-05,27,4,13,136,30,38,29,15,23,14,28,81,21
2021-01-04,25,3,16,122,23,34,26,21,28,17,27,76,24
2021-01-03,9,1,2,45,11,26,5,13,9,17,15,22,11
2021-01-02,20,6,4,53,28,38,10,11,11,24,22,82,17
2021-01-01,10,1,2,38,14,21,7,8,7,10,16,45,14
2020-12-31,23,6,10,84,40,35,12,19,28,25,29,82,25
2020-12-30,23,9,12,121,29,38,21,17,30,23,29,83,21
2020-12-29,24,12,12,116,32,39,24,19,28,20,30,93,24
2020-12-28,27,7,12,100,32,43,29,17,32,26,32,92,30
2020-12-27,17,4,2,38,25,44,9,7,11,23,21,31,17
2020-12-26,20,7,6,64,29,43,10,12,17,21,25,92,20
2020-12-25,7,6,6,40,1,27,7,3,7,7,16,43,15
2020-12-24,13,4,7,48,37,28,9,17,18,35,25,83,23
2020-12-23,31,18,13,109,52,45,38,25,30,29,35,106,26
2020-12-22,26,10,13,141,46,47,33,19,32,29,37,109,26
2020-12-21,25,4,12,107,44,43,25,15,29,19,33,101,30
2020-12-20,18,1,5,53,20,39,10,15,14,26,22,35,17
2020-12-19,23,0,8,41,40,45,15,19,11,34,28,102,19
2020-12-18,28,19,14,128,49,42,21,21,21,22,33,95,29
2020-12-17,25,4,12,145,31,37,11,19,29,19,31,89,27
2020-12-16,23,6,14,117,32,34,24,20,27,20,29,83,20
2020-12-15,25,0,13,105,23,33,23,23,22,15,27,78,18
2020-12-14,19,1,10,95,30,34,23,17,18,23,25,73,20
2020-12-13,15,1,3,34,19,31,5,9,8,12,17,27,13
2020-12-12,14,3,6,43,28,30,5,12,7,23,20,71,12
2020-12-11,20,7,11,114,30,34,24,23,30,25,26,82,23
2020-12-10,23,4,14,95,28,38,11,21,38,18,29,87,24
2020-12-09,31,7,10,109,30,41,24,18,26,20,30,85,20
2020-12-08,25,7,20,157,31,37,28,26,32,18,28,83,19
2020-12-07,25,1,14,126,31,34,29,21,29,20,28,87,25
2020-12-06,13,0,2,36,18,28,9,8,5,19,16,26,11
2020-12-05,25,0,7,53,29,49,12,12,13,25,26,104,18
2020-12-04,35,10,17,129,34,38,27,26,28,24,31,95,26
2020-12-03,26,9,12,138,32,38,13,25,30,20,29,81,25
2020-12-02,28,9,12,119,29,35,29,26,27,19,28,87,20
2020-12-01,28,1,17,150,31,36,28,26,36,17,28,83,19
2020-11-30,29,1,14,124,30,31,22,28,26,21,26,86,23
2020-11-29,17,6,5,36,23,32,5,10,6,15,16,26,12
2020-11-28,20,7,6,62,26,43,12,15,8,31,24,97,18
2020-11-27,26,7,6,62,52,40,24,22,18,25,28,99,25
2020-11-26,9,1,2,26,5,25,9,4,2,8,15,38,12
2020-11-25,24,10,12,71,35,30,22,19,21,14,26,77,16
2020-11-24,24,6,10,134,34,33,24,23,26,20,27,79,18
2020-11-23,32,10,14,124,34,33,23,23,25,19,27,87,24
2020-11-22,18,3,3,40,22,27,10,12,8,16,16,24,11
2020-11-21,24,3,6,34,22,37,11,15,13,22,22,76,14
2020-11-20,34,16,9,109,35,42,29,28,21,21,32,97,26
2020-11-19,30,19,20,119,26,39,30,26,27,24,30,89,25
2020-11-18,29,16,12,121,31,35,26,33,25,18,29,86,19
2020-11-17,27,15,16,122,29,32,25,21,25,20,28,83,17
2020-11-16,30,16,16,143,25,33,30,19,32,14,29,86,19
2020-11-15,16,4,2,43,25,24,8,15,12,12,14,24,7
2020-11-14,19,4,7,55,34,35,18,27,16,19,21,83,16
2020-11-13,35,12,15,128,44,41,32,35,40,27,33,106,29
2020-11-12,33,15,7,129,37,38,29,29,34,24,31,94,27
2020-11-11,27,16,9,110,23,32,19,25,23,20,28,82,18
2020-11-10,24,12,19,103,30,35,27,30,28,18,28,85,19
2020-11-09,27,13,10,122,34,40,23,28,28,16,31,98,23
2020-11-08,19,4,2,81,19,43,10,21,15,15,21,28,12
2020-11-07,27,4,7,57,25,58,20,26,14,24,31,100,25
2020-11-06,31,22,17,129,43,45,24,37,28,28,35,101,33
2020-11-05,27,16,10,138,25,38,22,30,23,18,31,90,28
2020-11-04,27,16,15,121,31,37,25,28,24,23,30,85,20
2020-11-03,31,21,16,109,35,39,37,27,28,28,33,101,24
2020-11-02,25,24,16,138,43,40,32,32,37,24,33,98,25
2020-11-01,14,6,5,50,27,32,8,21,10,15,17,25,8
2020-10-31,20,3,4,86,25,44,16,25,13,18,25,83,18
2020-10-30,34,15,12,133,52,45,29,20,34,30,37,112,35
2020-10-29,29,18,15,141,40,43,36,24,32,28,36,107,33
2020-10-28,24,15,16,157,34,40,29,21,29,21,35,99,25
2020-10-27,28,13,16,143,38,34,27,30,31,17,32,93,23
2020-10-26,27,15,9,134,31,34,26,25,37,14,32,96,25
2020-10-25,16,6,2,69,28,36,11,17,18,16,20,29,10
2020-10-24,28,9,8,91,39,57,18,27,23,27,31,113,25
2020-10-23,33,12,19,174,36,44,29,20,29,20,37,103,34
2020-10-22,29,22,10,148,38,46,28,28,34,28,37,108,33
2020-10-21,36,18,10,140,38,38,27,25,27,23,34,102,24
2020-10-20,30,16,17,166,34,37,22,30,25,23,34,98,24
2020-10-19,26,22,17,136,38,40,31,28,32,20,34,98,25
2020-10-18,18,7,3,91,17,34,13,15,11,26,22,34,11
2020-10-17,33,10,10,114,41,67,20,26,23,34,36,129,27
2020-10-16,40,25,13,157,40,53,32,27,41,30,41,122,40
2020-10-15,41,10,17,188,46,42,34,27,32,26,37,106,34
2020-10-14,30,16,16,153,32,44,27,23,33,22,36,101,25
2020-10-13,30,15,13,140,36,44,32,22,40,19,35,99,25
2020-10-12,25,15,9,110,22,39,24,15,26,17,31,91,24
2020-10-11,20,9,3,62,26,55,14,15,9,26,26,37,15
2020-10-10,28,12,8,74,35,72,14,20,17,25,35,114,29
2020-10-09,37,19,13,145,47,57,34,29,34,23,41,121,39
2020-10-08,37,13,14,164,47,52,37,30,36,28,39,115,37
2020-10-07,30,12,13,133,43,49,28,34,37,24,37,107,26
2020-10-06,29,28,12,159,35,41,31,22,36,25,36,99,26
2020-10-05,28,13,12,169,35,42,26,26,30,20,34,104,34
2020-10-04,16,4,1,50,29,43,9,17,14,16,21,32,18
2020-10-03,24,6,7,71,29,50,16,17,12,27,29,105,23
2020-10-02,33,21,14,145,43,52,29,25,38,26,40,117,38
2020-10-01,28,18,12,138,34,45,31,26,32,25,37,109,36
2020-09-30,35,21,14,160,29,47,28,23,36,32,37,106,29
2020-09-29,28,10,13,112,34,41,29,19,32,25,34,101,27
2020-09-28,27,16,8,129,31,38,23,27,26,17,32,93,32
2020-09-27,16,3,2,50,23,50,11,13,11,24,23,33,19
2020-09-26,28,3,9,78,32,62,13,18,21,32,32,108,25
2020-09-25,35,18,11,141,40,58,25,32,34,32,41,116,39
2020-09-24,27,15,20,169,34,45,23,24,36,26,38,103,36
2020-09-23,32,18,19,160,36,48,31,26,27,24,37,108,35
2020-09-22,24,18,14,140,35,46,33,21,30,25,36,104,34
2020-09-21,22,13,15,121,37,37,22,19,30,18,31,93,31
2020-09-20,16,4,5,43,23,43,15,20,10,19,21,30,18
2020-09-19,21,6,10,59,41,58,16,18,15,31,29,101,23
2020-09-18,32,26,14,155,41,48,32,22,30,21,36,108,36
2020-09-17,29,19,10,143,38,44,28,22,32,28,35,106,35
2020-09-16,27,13,14,148,36,55,27,25,28,24,36,103,32
2020-09-15,34,15,12,117,30,49,29,28,30,26,36,104,32
2020-09-14,26,10,12,126,28,43,29,23,23,20,35,103,33
2020-09-13,21,10,3,67,28,58,16,18,7,26,26,38,20
2020-09-12,18,6,2,59,31,41,16,14,13,31,26,89,19
2020-09-11,30,26,14,138,39,49,36,16,28,28,39,115,37
2020-09-10,27,13,18,121,47,43,29,19,32,22,36,104,36
2020-09-09,25,22,15,128,37,41,35,26,32,18,36,103,35
2020-09-08,29,6,14,148,36,35,26,23,21,24,33,94,33
2020-09-07,19,7,5,64,30,52,20,14,13,20,32,90,35
2020-09-06,19,7,5,72,36,56,13,17,13,23,27,39,25
2020-09-05,29,3,8,86,46,75,16,17,17,25,36,120,32
2020-09-04,32,13,14,126,48,56,38,35,36,37,44,127,47
2020-09-03,32,16,16,148,35,50,36,28,34,30,41,120,44
2020-09-02,35,24,9,141,41,48,37,25,42,32,40,114,40
2020-09-01,28,21,8,148,40,41,29,25,32,30,37,104,38
2020-08-31,22,18,15,107,42,38,27,22,28,27,34,98,34
2020-08-30,16,3,3,45,26,46,9,10,14,22,22,31,16
2020-08-29,18,3,6,64,38,42,11,12,16,24,25,78,17
2020-08-28,26,15,10,109,35,37,25,17,34,21,35,93,34
2020-08-27,30,28,15,107,32,40,34,24,35,31,37,100,39
2020-08-26,27,19,14,114,26,39,29,23,29,25,35,96,34
2020-08-25,27,13,14,126,37,44,31,19,31,26,36,100,34
2020-08-24,25,18,10,102,40,39,32,24,36,20,35,101,35
2020-08-23,15,6,5,38,26,38,9,9,11,23,21,28,16
2020-08-22,23,1,4,69,32,50,12,14,10,30,30,95,22
2020-08-21,31,18,13,116,44,52,27,25,42,29,39,112,40
2020-08-20,34,21,16,131,31,42,36,23,32,17,38,100,40
2020-08-19,32,24,14,126,46,44,32,24,30,28,37,102,37
2020-08-18,27,18,12,138,33,42,37,23,27,17,36,103,37
2020-08-17,30,18,12,116,34,42,30,25,30,26,35,97,36
2020-08-16,14,6,3,57,21,42,10,12,10,15,21,27,16
2020-08-15,17,3,4,78,17,39,7,10,13,18,22,66,17
2020-08-14,25,9,15,88,33,48,28,27,35,21,37,102,39
2020-08-13,26,16,16,109,28,41,34,25,23,24,36,98,38
2020-08-12,26,26,15,122,30,40,32,21,24,18,34,94,36
2020-08-11,26,4,12,121,25,40,29,16,32,27,33,94,34
2020-08-10,13,4,10,72,7,31,16,8,15,12,23,55,22
2020-08-09,18,7,5,55,27,50,16,7,15,26,26,33,20
2020-08-08,21,13,7,83,28,60,26,10,19,27,34,97,25
2020-08-07,32,26,13,110,47,54,41,28,38,29,44,118,45
2020-08-06,34,24,16,121,31,52,39,28,41,28,42,111,45
2020-08-05,32,22,12,119,38,47,40,28,28,24,40,108,41
2020-08-04,29,18,14,107,44,46,36,21,25,23,38,106,38
2020-08-03,28,19,16,134,48,43,32,28,37,28,38,111,41
2020-08-02,17,3,6,40,22,39,13,17,8,21,25,32,22
2020-08-01,21,3,5,59,29,49,13,17,13,28,30,94,23
2020-07-31,32,15,16,102,43,56,32,18,29,29,43,114,43
2020-07-30,34,29,13,119,40,46,34,30,35,33,42,113,46
2020-07-29,32,15,16,148,40,45,30,32,32,27,41,111,41
2020-07-28,23,13,10,117,45,46,31,27,25,26,39,102,38
2020-07-27,27,12,8,110,38,41,28,26,33,32,37,102,36
2020-07-26,16,4,3,29,22,39,8,15,11,17,21,27,13
2020-07-25,23,7,9,74,28,58,22,15,16,30,34,103,22
2020-07-24,24,13,9,105,40,38,21,15,23,15,34,90,33
2020-07-23,32,18,12,136,36,48,32,25,34,35,40,106,40
2020-07-22,27,12,16,174,59,43,30,21,38,29,39,107,40
2020-07-21,31,12,15,140,38,42,31,28,25,35,38,103,38
2020-07-20,30,15,10,126,44,41,28,27,26,29,36,101,36
2020-07-19,16,6,5,40,17,39,10,13,11,19,22,28,14
2020-07-18,27,7,5,33,31,46,16,14,15,19,29,89,18
2020-07-17,28,7,18,112,51,55,28,25,33,30,41,113,39
2020-07-16,25,13,16,134,49,51,30,25,35,28,39,109,39
2020-07-15,28,13,18,166,45,38,25,23,30,31,36,101,36
2020-07-14,24,10,16,117,37,45,26,20,34,28,37,97,35
2020-07-13,27,12,13,150,36,39,29,23,34,35,36,100,35
2020-07-12,20,9,4,53,30,50,17,15,9,23,26,31,20
2020-07-11,20,7,6,55,30,55,10,14,3,25,30,85,20
2020-07-10,30,10,10,128,49,47,27,21,33,31,39,110,37
2020-07-09,29,19,14,116,31,37,28,27,28,31,35,99,34
2020-07-08,31,12,14,119,38,45,27,23,30,24,37,111,37
2020-07-07,23,7,14,129,31,34,25,25,28,23,32,89,30
2020-07-06,26,4,13,102,35,40,27,26,26,27,36,101,33
2020-07-05,12,3,6,40,26,49,10,10,11,20,25,28,18
2020-07-04,19,3,4,26,23,40,14,9,13,18,24,75,17
2020-07-03,21,13,9,62,46,42,18,14,14,20,31,88,29
2020-07-02,23,10,13,107,36,43,22,26,25,22,37,100,37
2020-07-01,25,9,13,121,32,42,20,25,28,25,35,97,34
2020-06-30,20,15,15,138,28,38,22,25,28,22,33,87,30
2020-06-29,27,12,9,116,39,39,21,25,28,28,34,94,32
2020-06-28,14,6,5,26,23,42,15,7,14,17,22,27,15
2020-06-27,20,6,4,34,32,39,14,11,6,15,26,78,17
2020-06-26,20,12,15,105,26,32,22,15,25,24,31,87,29
2020-06-25,23,13,11,126,47,42,27,15,26,19,35,94,34
2020-06-24,29,18,13,100,33,27,26,10,25,32,29,80,27
2020-06-23,29,16,15,141,39,35,23,17,26,20,33,91,32
2020-06-22,20,18,8,93,33,32,25,23,26,21,31,85,29
2020-06-21,17,1,1,38,20,34,9,8,3,15,19,24,13
2020-06-20,18,1,3,41,22,33,13,13,7,18,21,69,14
2020-06-19,26,21,14,110,32,39,23,24,23,28,35,95,35
2020-06-18,25,18,12,98,34,41,27,17,25,21,33,88,32
2020-06-17,23,21,16,121,40,37,23,14,25,23,33,91,31
2020-06-16,27,13,12,102,30,40,24,26,31,23,34,92,32
2020-06-15,21,7,16,98,39,37,24,23,29,23,33,94,31
2020-06-14,12,0,3,36,14,27,8,8,5,18,17,20,11
2020-06-13,13,1,5,28,23,31,11,7,3,20,20,59,12
2020-06-12,22,9,12,98,29,42,30,14,30,21,34,88,32
2020-06-11,19,9,16,97,27,37,19,16,28,25,32,79,30
2020-06-10,18,4,13,114,17,31,20,14,23,18,29,71,27
2020-06-09,20,12,12,100,26,28,12,15,25,17,27,67,25
2020-06-08,19,4,14,107,30,34,15,17,29,26,30,74,27
2020-06-07,9,1,2,16,8,14,4,3,2,7,10,12,7
2020-06-06,19,1,5,38,3,13,5,3,7,7,10,35,8
2020-06-05,19,9,12,86,10,33,16,12,17,16,26,57,21
2020-06-04,15,3,14,41,7,26,12,10,28,19,23,52,19
2020-06-03,12,10,10,79,5,25,9,10,12,8,20,45,17
2020-06-02,4,3,6,41,1,13,3,2,9,6,10,20,8
2020-06-01,3,0,5,60,1,10,3,3,5,3,9,20,8
2020-05-31,10,4,8,60,9,13,5,6,5,16,10,18,8
2020-05-30,19,0,8,66,11,28,12,15,13,23,22,66,17
2020-05-29,17,7,14,97,39,33,19,23,17,26,30,77,30
2020-05-28,21,1,20,88,24,28,21,17,15,16,26,63,26
2020-05-27,16,6,13,81,24,36,23,19,23,26,29,70,29
2020-05-26,19,12,10,105,32,33,16,29,29,27,30,71,28
2020-05-25,14,3,2,31,11,35,13,6,8,14,23,54,21
2020-05-24,14,1,5,40,26,36,7,11,6,16,22,25,17
2020-05-23,10,1,5,34,24,29,9,7,5,19,20,57,14
2020-05-22,19,9,10,86,38,39,20,25,16,31,32,81,31
2020-05-21,23,6,16,98,23,33,21,20,26,14,30,71,29
2020-05-20,21,10,13,116,40,35,23,15,16,24,30,72,28
2020-05-19,17,6,9,90,25,29,23,23,21,16,27,62,25
2020-05-18,21,4,14,57,25,33,18,19,17,23,28,69,27
2020-05-17,12,3,3,14,11,13,2,5,1,8,11,14,7
2020-05-16,15,1,5,38,26,29,6,11,6,18,20,58,15
2020-05-15,19,3,10,91,37,29,21,14,25,25,29,70,29
2020-05-14,15,9,13,93,31,22,18,14,23,12,24,56,23
2020-05-13,17,6,8,95,34,26,20,23,22,23,25,62,26
2020-05-12,17,7,9,62,23,22,20,15,19,13,22,51,22
2020-05-11,15,3,10,60,23,21,23,13,22,15,23,58,24
2020-05-10,11,0,2,14,10,14,4,5,4,11,11,15,8
2020-05-09,16,0,3,24,22,23,8,9,9,16,17,50,13
2020-05-08,18,1,10,97,35,25,23,17,13,18,26,64,26
2020-05-07,19,4,9,71,41,19,17,15,17,18,23,53,21
2020-05-06,18,3,12,86,28,25,24,21,23,23,24,57,24
2020-05-05,18,7,10,64,28,21,20,17,20,19,23,51,21
2020-05-04,15,1,8,78,28,20,16,15,22,18,22,53,20
2020-05-03,10,1,3,21,17,18,6,6,4,9,13,15,8
2020-05-02,13,1,2,16,22,27,10,10,9,17,18,51,10
2020-05-01,16,10,6,81,31,25,17,17,17,14,26,65,25
2020-04-30,15,4,10,84,26,18,18,18,18,18,23,53,21
2020-04-29,11,3,11,62,19,15,16,13,13,17,19,46,18
2020-04-28,16,6,13,91,28,24,20,19,21,21,24,57,23
2020-04-27,16,7,12,83,32,20,18,21,19,15,23,58,22
2020-04-26,6,0,4,26,20,22,20,12,3,12,15,17,10
2020-04-25,7,0,1,14,13,14,8,5,3,16,13,37,7
2020-04-24,13,0,11,69,28,20,23,10,23,17,22,57,21
2020-04-23,14,1,14,83,27,23,13,23,25,20,22,52,21
2020-04-22,12,0,8,67,25,20,18,25,28,16,21,48,20
2020-04-21,17,6,10,74,26,20,21,19,22,18,22,52,20
2020-04-20,18,13,12,84,29,21,21,12,21,20,22,56,21
2020-04-19,7,0,3,19,15,19,5,7,9,14,13,15,8
2020-04-18,12,4,6,31,20,23,9,8,10,15,17,46,10
2020-04-17,19,4,7,41,31,16,13,12,13,18,20,48,19
2020-04-16,15,9,9,59,22,19,17,12,17,16,21,50,19
2020-04-15,17,1,10,79,28,16,15,15,24,20,19,44,17
2020-04-14,16,7,12,66,19,18,18,10,21,17,20,45,19
2020-04-13,9,1,13,71,22,16,13,8,16,12,19,46,19
2020-04-12,12,1,3,14,4,14,2,1,7,8,11,12,7
2020-04-11,12,3,3,38,14,15,8,3,7,13,14,39,8
2020-04-10,16,7,8,78,24,19,18,15,15,14,22,53,22
2020-04-09,11,4,12,84,22,19,16,14,17,16,22,50,20
2020-04-08,15,1,13,76,17,19,15,13,18,12,21,45,19
2020-04-07,23,1,8,74,23,23,21,19,18,16,23,55,22
2020-04-06,14,3,9,67,17,20,20,18,19,23,22,51,20
2020-04-05,7,3,3,19,11,16,5,4,8,10,12,14,7
2020-04-04,12,1,3,22,16,14,7,6,5,16,13,37,7
2020-04-03,19,3,7,84,32,22,16,14,28,20,25,58,23
2020-04-02,19,6,14,84,24,20,23,15,17,19,23,55,22
2020-04-01,17,12,9,81,23,22,19,20,18,20,23,52,22
2020-03-31,17,10,13,76,21,23,15,15,20,19,23,52,21
2020-03-30,18,7,16,90,18,19,18,19,16,22,23,57,22
2020-03-29,8,0,1,16,13,11,4,8,6,13,11,15,6
2020-03-28,9,1,3,29,14,12,6,8,1,10,12,36,6
2020-03-27,19,6,14,84,20,20,20,18,18,19,23,55,22
2020-03-26,18,1,13,88,23,22,17,19,11,20,24,55,23
2020-03-25,19,9,11,117,29,28,20,19,15,23,27,62,27
2020-03-24,18,3,9,88,22,23,21,18,13,21,26,57,21
2020-03-23,20,4,9,79,20,24,18,18,15,18,25,55,20
2020-03-22,10,1,5,31,20,15,4,9,6,15,12,15,7
2020-03-21,12,0,2,33,21,12,9,12,9,13,13,41,7
2020-03-20,32,9,20,155,34,26,24,21,36,29,34,78,27
2020-03-19,35,10,23,202,48,38,33,37,47,28,42,97,35
2020-03-18,38,7,31,314,40,44,43,42,40,45,49,110,40
2020-03-17,48,9,35,397,63,50,53,39,37,39,56,130,48
2020-03-16,65,22,55,628,82,67,66,69,56,61,79,189,71
2020-03-15,31,6,13,166,49,39,15,32,17,28,32,46,21
2020-03-14,43,7,22,207,60,43,25,39,22,48,43,149,28
2020-03-13,97,40,58,948,121,94,94,98,101,101,116,280,108
2020-03-12,123,44,89,"1,291",127,112,128,125,136,104,139,324,134
2020-03-11,128,31,98,"1,416",105,107,137,112,134,105,145,327,138
2020-03-10,132,51,92,"1,417",126,111,131,132,132,105,144,332,136
2020-03-09,120,54,98,"1,353",103,105,124,135,128,118,140,313,134
2020-03-08,53,18,24,247,60,94,36,50,27,58,58,81,38
2020-03-07,81,19,35,386,83,126,50,65,37,96,82,267,51
2020-03-06,127,38,85,"1,293",146,113,128,130,126,116,147,347,135
2020-03-05,139,62,97,"1,424",119,117,137,114,133,119,158,354,148
2020-03-04,129,44,102,"1,124",117,110,123,137,135,100,156,291,166
2020-03-03,140,81,149,390,117,116,147,142,136,122,155,109,221
2020-03-02,124,96,157,88,110,116,145,132,134,119,144,37,177
2020-03-01,52,41,28,26,66,92,25,60,32,58,55,4,68
2020-02-29,53,57,57,34,80,91,49,77,38,93,68,8,109
2020-02-28,122,81,137,41,137,127,126,128,131,128,150,24,224
2020-02-27,120,85,174,52,110,118,136,139,155,125,153,26,234
2020-02-26,125,54,149,62,102,99,121,123,135,107,140,26,212
2020-02-25,136,82,167,66,113,112,145,126,147,120,152,26,239
2020-02-24,125,76,164,66,129,106,135,124,132,105,147,24,180
2020-02-23,57,43,24,26,55,83,26,54,32,51,53,4,64
2020-02-22,72,74,51,38,84,107,55,65,43,70,73,7,121
2020-02-21,136,81,152,53,135,135,135,146,133,124,155,21,231
2020-02-20,123,100,150,55,120,127,138,133,123,114,155,27,240
2020-02-19,136,69,149,59,104,120,122,133,144,105,153,27,235
2020-02-18,121,63,138,59,102,113,120,131,124,105,146,25,224
2020-02-17,94,51,90,50,71,95,82,83,58,70,107,9,131
2020-02-16,73,43,35,38,54,93,35,50,47,90,67,4,80
2020-02-15,84,43,72,26,91,116,55,82,60,113,86,5,134
2020-02-14,126,65,134,59,131,134,119,119,119,134,156,13,221
2020-02-13,127,60,151,69,122,116,122,133,132,115,152,19,231
2020-02-12,133,76,167,90,113,122,133,131,146,124,161,29,241
2020-02-11,119,110,173,86,121,121,143,133,132,124,145,23,222
2020-02-10,118,146,142,40,104,114,130,119,118,108,122,70,120
2020-02-09,37,40,23,9,49,50,22,44,19,39,32,57,13
2020-02-08,63,34,40,3,75,97,43,55,29,73,52,101,37
2020-02-07,129,157,124,10,133,124,112,106,109,110,110,159,85
2020-02-06,135,179,127,3,104,110,136,126,138,109,110,151,83
2020-02-05,134,175,142,2,119,106,147,140,132,138,112,159,86
2020-02-04,127,181,131,5,124,114,140,129,157,134,109,157,84
2020-02-03,139,172,125,7,126,102,136,124,129,141,105,154,36
2020-02-02,57,29,25,0,66,57,27,50,26,60,31,73,6
2020-02-01,60,31,42,2,74,63,35,43,31,72,41,87,29
2020-01-31,107,138,113,2,132,109,119,119,118,105,99,145,73
2020-01-30,120,147,129,7,114,110,129,121,154,105,107,145,80
2020-01-29,131,162,117,5,119,107,124,131,125,113,110,151,82
2020-01-28,129,156,116,2,110,104,139,119,121,102,108,148,80
2020-01-27,108,172,123,2,121,103,132,115,123,128,104,142,35
2020-01-26,45,28,24,2,44,45,35,32,31,38,28,56,8
2020-01-25,66,53,40,3,68,60,54,57,34,63,40,84,29
2020-01-24,108,162,115,3,102,99,110,98,130,118,100,142,75
2020-01-23,100,165,124,3,90,88,109,97,137,93,99,130,70
2020-01-22,105,229,130,3,105,90,127,106,144,99,105,139,73
2020-01-21,121,178,133,5,112,94,123,116,148,91,107,138,78
2020-01-20,67,85,76,0,79,63,65,52,68,68,62,87,26
