Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-11,138,128,103,119,136,126,154,113,140,120,98
2020-03-10,138,137,108,110,131,128,135,134,143,128,99
2020-03-09,134,130,103,110,110,113,173,129,142,122,103
2020-03-08,39,32,24,37,105,44,30,30,61,29,82
2020-03-07,56,53,40,77,98,70,49,31,80,43,99
2020-03-06,137,137,103,135,109,117,168,118,144,117,120
2020-03-05,144,151,117,120,121,135,165,131,150,134,107
2020-03-04,139,163,144,124,132,127,197,125,143,128,98
2020-03-03,141,214,217,126,107,145,176,130,149,132,107
2020-03-02,138,212,208,118,119,122,178,114,149,127,107
2020-03-01,45,54,51,44,99,50,59,27,69,30,103
2020-02-29,57,76,81,85,126,59,49,31,85,42,109
2020-02-28,136,214,216,142,125,127,141,128,152,126,131
2020-02-27,148,241,230,130,117,125,181,127,158,140,112
2020-02-26,129,216,206,117,119,116,130,126,145,131,102
2020-02-25,142,237,239,131,112,133,192,128,154,141,108
2020-02-24,136,235,225,126,126,132,157,130,152,137,106
2020-02-23,44,59,61,41,100,42,62,26,66,29,92
2020-02-22,68,74,91,85,106,60,46,27,84,43,109
2020-02-21,149,218,206,135,92,122,143,128,153,127,128
2020-02-20,142,233,230,131,110,119,176,133,156,142,115
2020-02-19,148,229,223,123,102,128,111,140,155,142,109
2020-02-18,140,226,213,123,97,109,168,129,149,133,101
2020-02-17,96,137,147,94,90,85,73,84,110,84,108
2020-02-16,52,64,63,45,87,53,43,38,79,37,110
2020-02-15,69,87,86,98,82,64,51,33,94,49,117
2020-02-14,136,206,193,137,132,133,119,135,155,113,131
2020-02-13,138,241,218,134,111,135,81,151,161,135,110
2020-02-12,139,249,243,131,106,137,176,174,170,147,110
2020-02-11,143,237,217,124,100,120,157,127,156,141,107
2020-02-10,126,160,160,112,97,120,116,130,127,129,103
2020-02-09,35,18,34,42,99,41,30,26,50,33,87
2020-02-08,52,24,44,77,98,50,41,41,65,49,108
2020-02-07,131,80,76,134,97,107,100,138,101,123,119
2020-02-06,131,88,86,121,100,125,100,135,102,134,107
2020-02-05,134,84,86,116,96,124,130,140,101,137,106
2020-02-04,123,85,76,120,89,125,122,153,101,138,103
2020-02-03,123,94,77,108,97,103,130,139,96,128,98
2020-02-02,39,12,26,46,99,42,24,34,44,25,81
2020-02-01,55,17,33,72,111,59,46,38,56,37,98
2020-01-31,116,77,72,126,111,117,111,111,95,117,115
2020-01-30,128,88,81,128,93,120,114,149,100,132,105
2020-01-29,133,96,82,133,101,120,138,128,103,137,105
2020-01-28,126,95,87,126,98,122,92,143,102,140,101
2020-01-27,125,80,80,104,93,118,111,116,98,133,94
2020-01-26,34,16,20,37,69,46,14,21,40,26,69
2020-01-25,51,25,29,77,93,58,86,22,53,38,88
2020-01-24,115,85,71,112,86,120,103,156,97,128,102
2020-01-23,105,72,67,104,80,109,103,141,90,124,80
2020-01-22,111,73,68,111,85,105,100,160,94,125,89
2020-01-21,126,83,77,101,94,115,132,144,100,137,95
2020-01-20,54,34,41,70,87,76,46,52,58,61,82
2020-01-19,33,15,20,42,73,47,14,26,42,25,74
2020-01-18,56,22,29,78,99,69,30,34,57,39,95
2020-01-17,110,82,68,111,85,115,114,130,98,136,95
2020-01-16,113,90,80,112,92,125,114,125,101,141,97
2020-01-15,137,97,84,132,100,131,119,141,105,140,102
2020-01-14,108,87,89,103,102,120,111,131,98,143,87
2020-01-13,108,86,84,106,110,147,127,138,99,135,94
2020-01-12,30,10,21,37,80,49,24,20,40,24,69
2020-01-11,37,20,30,61,94,67,35,30,49,36,75
2020-01-10,122,69,69,128,117,115,111,140,99,123,104
2020-01-09,113,95,84,104,96,120,141,159,102,147,92
2020-01-08,107,62,78,111,101,109,132,140,93,133,84
2020-01-07,109,57,78,109,103,120,119,126,94,137,84
2020-01-06,124,52,90,115,115,115,111,141,101,144,94
2020-01-05,37,14,25,40,100,63,32,29,46,29,81
2020-01-04,46,16,36,66,99,74,43,35,56,41,93
2020-01-03,101,40,74,114,98,134,97,128,91,110,116
2020-01-02,98,37,62,105,101,104,143,147,88,111,105
2020-01-01,33,12,28,58,62,52,49,41,45,32,87
2019-12-31,78,25,49,94,101,101,92,60,70,71,103
2019-12-30,88,34,62,94,98,101,97,94,76,93,93
