Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-08-30,11,19,7,14,3,3,3,17,16,1
2020-08-29,11,22,10,17,3,8,7,20,19,5
2020-08-28,26,27,37,26,13,18,17,31,23,11
2020-08-27,24,24,37,25,13,18,24,35,27,14
2020-08-26,31,43,30,23,13,13,21,34,27,14
2020-08-25,26,37,34,26,13,13,21,34,26,13
2020-08-24,24,28,33,23,17,23,21,32,26,13
2020-08-23,8,13,10,13,1,3,3,17,16,1
2020-08-22,11,19,13,18,6,7,7,24,22,6
2020-08-21,28,39,30,29,18,24,19,35,29,13
2020-08-20,26,28,41,27,15,18,22,34,26,13
2020-08-19,31,32,36,27,17,37,21,34,26,13
2020-08-18,26,30,30,26,20,18,23,33,26,13
2020-08-17,24,24,30,25,13,23,21,31,24,12
2020-08-16,10,16,5,11,2,4,3,17,15,1
2020-08-15,12,21,7,16,3,6,7,18,16,5
2020-08-14,27,27,30,24,15,21,16,33,25,12
2020-08-13,26,24,25,25,16,20,24,33,24,12
2020-08-12,29,32,28,22,14,23,24,32,25,12
2020-08-11,24,38,30,24,15,20,21,31,23,12
2020-08-10,15,21,17,16,6,10,13,21,15,8
2020-08-09,9,20,6,14,3,13,3,20,18,1
2020-08-08,13,18,10,17,2,6,5,25,25,6
2020-08-07,23,32,37,31,15,21,22,38,31,14
2020-08-06,34,34,38,27,16,23,27,37,29,14
2020-08-05,29,37,33,29,15,18,23,37,29,15
2020-08-04,25,30,35,25,17,17,25,35,26,13
2020-08-03,27,28,33,24,15,32,25,35,27,14
2020-08-02,10,23,10,14,2,4,6,20,16,2
2020-08-01,11,24,10,16,4,1,7,23,20,6
2020-07-31,27,32,40,26,16,17,21,37,28,13
2020-07-30,32,37,32,30,21,28,29,38,30,14
2020-07-29,27,33,31,26,22,32,32,37,28,15
2020-07-28,30,27,37,25,19,17,22,35,26,15
2020-07-27,28,36,35,23,19,38,29,34,26,23
2020-07-26,10,20,6,11,4,4,6,17,14,12
2020-07-25,17,35,17,17,4,15,8,26,24,23
2020-07-24,21,37,20,21,13,25,17,31,24,30
