Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-16,92,78,83,105,39,82,75,132,56
2020-09-15,56,66,67,95,20,81,73,100,39
2020-09-14,33,63,0,74,31,75,62,116,67
2020-09-13,81,64,83,110,20,51,58,100,50
2020-09-12,78,76,0,83,14,61,73,100,61
2020-09-11,47,92,67,102,41,75,73,63,72
2020-09-10,58,76,50,110,29,65,71,95,67
2020-09-09,47,77,50,76,31,85,62,111,33
2020-09-08,56,73,67,100,37,70,68,121,44
2020-09-07,33,59,33,76,29,63,56,89,44
2020-09-06,83,84,100,105,35,61,57,95,11
2020-09-05,78,96,50,90,49,74,86,84,44
2020-09-04,69,100,0,69,43,101,89,132,33
2020-09-03,83,90,83,95,43,94,90,163,33
2020-09-02,86,79,33,74,45,84,81,116,22
2020-09-01,50,68,83,93,43,92,74,111,44
2020-08-31,61,71,17,64,59,70,66,95,17
2020-08-30,36,59,0,83,29,63,60,95,28
2020-08-29,67,82,50,79,20,71,77,74,33
2020-08-28,75,82,0,62,39,71,79,68,44
2020-08-27,56,84,83,90,53,94,87,116,50
2020-08-26,47,96,17,52,55,76,80,126,33
2020-08-25,53,72,33,102,43,62,65,74,67
2020-08-24,50,59,50,102,27,81,71,111,44
2020-08-23,92,62,50,117,14,57,63,84,28
2020-08-22,61,98,50,114,27,69,87,79,28
2020-08-21,67,94,17,71,43,74,84,84,33
2020-08-20,39,81,50,100,63,90,86,100,28
2020-08-19,61,91,67,83,53,80,72,79,56
2020-08-18,56,81,33,62,57,75,76,89,44
2020-08-17,50,62,50,74,37,77,78,116,44
2020-08-16,86,73,50,93,35,61,60,137,11
2020-08-15,86,74,117,76,24,87,73,132,78
2020-08-14,69,59,17,81,47,97,105,168,50
2020-08-13,42,61,100,81,41,85,68,142,56
2020-08-12,36,54,17,86,63,85,72,200,50
2020-08-11,39,65,0,45,49,41,42,200,156
2020-08-10,28,65,17,45,47,48,64,126,72
2020-08-09,42,83,83,86,29,78,62,100,39
2020-08-08,31,90,83,83,16,72,75,79,44
2020-08-07,106,82,50,98,41,81,84,126,61
2020-08-06,97,73,33,86,55,87,86,105,22
2020-08-05,50,84,100,129,37,93,76,116,67
2020-08-04,56,77,33,107,43,70,74,105,72
2020-08-03,64,74,67,76,47,89,69,163,28
2020-08-02,72,73,50,86,29,62,73,116,39
2020-08-01,53,92,33,83,33,75,78,100,33
2020-07-31,44,102,33,67,37,82,81,116,39
2020-07-30,81,82,33,126,41,93,74,111,61
2020-07-29,56,75,33,107,61,89,80,89,17
2020-07-28,36,76,17,83,55,82,74,79,39
2020-07-27,53,74,33,86,33,66,80,105,56
2020-07-26,89,63,50,93,33,52,67,32,11
2020-07-25,58,121,0,69,29,99,89,121,28
2020-07-24,92,94,0,57,22,54,75,116,56
2020-07-23,114,90,17,105,33,72,78,89,50
2020-07-22,58,59,0,112,41,82,69,111,44
2020-07-21,67,86,50,126,16,91,74,111,61
2020-07-20,61,61,17,100,29,61,71,116,67
2020-07-19,83,62,33,81,14,58,69,74,39
2020-07-18,100,84,17,86,14,57,75,111,17
2020-07-17,53,95,0,98,41,66,74,95,72
2020-07-16,94,89,50,114,45,82,71,47,78
2020-07-15,36,70,50,102,35,65,64,100,50
2020-07-14,56,79,83,102,43,76,73,79,50
2020-07-13,44,79,33,102,22,73,76,79,44
2020-07-12,58,90,50,110,20,61,68,84,28
2020-07-11,22,98,33,83,29,73,72,100,11
2020-07-10,53,102,100,105,37,75,83,100,89
2020-07-09,75,69,33,86,45,69,83,121,33
2020-07-08,39,70,33,107,37,73,66,95,50
2020-07-07,44,60,17,81,37,55,62,89,39
2020-07-06,36,84,33,88,27,72,66,95,56
2020-07-05,67,67,17,67,27,51,54,84,11
2020-07-04,44,77,17,71,35,64,54,111,28
2020-07-03,47,99,17,100,59,77,77,121,56
2020-07-02,53,90,33,129,47,105,79,116,72
