Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-03,29,45,29,27,48,61,22,18,36,30,41,8
2020-10-02,37,46,30,51,44,85,45,40,49,36,46,34
2020-10-01,35,34,28,46,39,67,41,37,40,32,40,27
2020-09-30,34,33,28,49,47,60,45,44,40,31,41,27
2020-09-29,30,27,24,40,40,65,28,38,39,30,40,27
2020-09-28,28,28,21,39,39,52,34,31,31,29,35,25
2020-09-27,21,38,21,20,58,40,15,12,32,23,31,10
2020-09-26,29,59,30,36,72,72,20,18,42,32,45,10
2020-09-25,36,51,32,53,56,68,35,37,38,37,48,31
2020-09-24,31,40,28,46,48,67,33,31,41,34,41,26
2020-09-23,34,42,25,46,55,67,26,34,35,33,40,28
2020-09-22,29,33,22,44,52,66,29,33,47,31,40,26
2020-09-21,28,31,24,35,47,63,32,34,32,29,32,31
2020-09-20,19,44,20,21,64,37,11,11,35,22,29,8
2020-09-19,25,54,23,29,72,68,22,15,48,30,42,8
2020-09-18,34,44,25,47,44,74,36,42,47,34,42,29
2020-09-17,28,33,24,40,57,72,30,35,41,34,42,32
2020-09-16,29,37,26,45,64,79,39,38,40,34,39,27
2020-09-15,32,42,25,42,46,55,30,31,51,33,40,28
2020-09-14,34,32,25,39,53,60,38,37,45,31,36,27
2020-09-13,24,43,20,23,75,48,18,11,36,26,34,10
2020-09-12,27,42,23,24,44,56,18,16,33,27,34,8
2020-09-11,32,41,28,46,56,75,37,40,51,37,44,31
2020-09-10,32,37,28,44,49,73,44,33,45,33,39,28
2020-09-09,30,39,30,44,43,64,36,30,46,33,38,30
2020-09-08,29,32,27,44,37,55,39,33,40,31,38,29
2020-09-07,25,40,24,35,87,51,18,20,38,32,37,28
2020-09-06,25,60,29,25,81,49,13,16,38,31,44,17
2020-09-05,33,68,33,43,110,66,21,18,47,39,53,19
2020-09-04,40,54,34,58,78,73,32,41,42,41,50,39
2020-09-03,38,42,25,56,61,73,34,38,51,37,43,35
2020-09-02,34,41,23,54,62,58,37,37,47,36,42,34
2020-09-01,32,35,25,45,53,69,34,36,40,33,40,31
2020-08-31,29,34,25,43,54,59,35,35,43,31,36,31
2020-08-30,20,37,18,20,65,31,9,10,21,23,29,11
2020-08-29,22,38,21,26,61,59,10,12,27,26,32,10
2020-08-28,28,38,24,44,44,56,30,31,35,33,37,32
2020-08-27,35,36,22,51,46,61,30,33,37,35,39,34
2020-08-26,29,33,27,46,44,66,30,29,48,33,38,31
2020-08-25,31,37,26,48,47,62,36,33,50,33,39,31
2020-08-24,35,35,22,52,44,60,34,32,35,32,38,32
2020-08-23,18,37,21,18,54,37,11,13,25,22,29,12
2020-08-22,30,52,27,31,64,56,25,16,36,31,40,13
2020-08-21,36,44,27,49,61,59,26,46,47,38,46,37
2020-08-20,34,39,24,46,52,66,31,39,43,35,42,33
2020-08-19,35,39,25,49,57,65,38,33,40,34,41,32
2020-08-18,31,33,26,48,52,66,31,37,34,33,38,31
2020-08-17,33,34,24,47,51,59,35,34,47,32,38,32
2020-08-16,19,40,19,16,66,22,13,9,20,22,28,12
2020-08-15,21,37,18,20,56,28,16,12,29,25,32,13
2020-08-14,34,42,25,48,57,48,35,35,43,36,43,35
2020-08-13,34,33,25,49,56,54,39,33,41,34,40,32
2020-08-12,33,36,25,47,46,43,39,32,32,33,38,31
