Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-17,53,75,32,79,70,43,70,62
2020-07-16,71,79,39,93,67,49,67,62
2020-07-15,63,60,40,76,61,52,67,63
2020-07-14,62,63,34,90,79,45,68,63
2020-07-13,59,54,39,79,60,42,66,59
2020-07-12,48,42,11,74,67,54,73,52
2020-07-11,66,69,14,66,82,48,65,64
2020-07-10,71,75,38,82,80,48,67,61
2020-07-09,47,58,47,78,64,52,70,53
2020-07-08,67,63,39,99,75,58,63,64
2020-07-07,43,53,30,71,68,25,47,51
2020-07-06,44,54,28,71,71,55,53,51
2020-07-05,34,36,4,49,56,52,52,48
2020-07-04,22,31,7,31,55,37,42,44
2020-07-03,51,55,14,81,66,33,65,57
2020-07-02,56,71,39,93,73,46,62,61
2020-07-01,53,50,36,92,73,64,59,59
2020-06-30,68,57,32,75,74,33,60,55
2020-06-29,39,53,35,76,71,40,64,57
2020-06-28,51,28,5,51,48,51,50,49
2020-06-27,77,58,13,69,69,61,58,55
2020-06-26,55,58,40,67,58,45,55,52
2020-06-25,53,66,46,98,73,66,53,61
2020-06-24,45,46,39,83,66,49,36,46
2020-06-23,55,67,40,126,81,63,45,59
2020-06-22,46,49,43,89,64,45,49,50
2020-06-21,53,44,8,59,88,57,59,56
2020-06-20,84,62,12,71,84,73,56,61
2020-06-19,64,68,42,84,73,54,56,64
2020-06-18,53,71,43,102,65,48,53,62
2020-06-17,64,49,37,103,66,58,53,57
2020-06-16,68,63,46,92,81,67,47,63
2020-06-15,46,43,32,96,82,51,53,61
2020-06-14,61,31,9,72,66,55,56,48
2020-06-13,60,65,7,73,65,72,51,61
2020-06-12,100,74,28,82,85,55,61,67
2020-06-11,57,60,30,122,76,66,51,68
2020-06-10,37,54,39,87,78,64,45,55
2020-06-09,47,58,32,71,78,46,57,54
2020-06-08,33,56,37,104,79,55,52,57
2020-06-07,37,35,8,44,57,51,47,37
2020-06-06,70,70,8,74,78,61,50,59
2020-06-05,59,78,30,86,91,70,67,62
2020-06-04,35,57,24,69,71,49,49,49
2020-06-03,51,50,35,68,78,52,49,54
2020-06-02,42,48,21,69,68,45,40,52
2020-06-01,47,51,25,74,77,54,42,51
2020-05-31,34,27,6,34,54,36,39,44
2020-05-30,32,52,5,51,85,66,45,51
2020-05-29,66,65,25,97,92,73,58,58
2020-05-28,29,50,27,71,73,60,43,52
2020-05-27,41,50,31,92,82,60,55,59
2020-05-26,26,53,26,75,80,78,55,55
2020-05-25,19,40,11,81,83,73,41,46
2020-05-24,29,27,4,41,101,79,52,49
2020-05-23,39,51,11,52,88,87,45,49
2020-05-22,44,66,23,81,99,85,59,60
2020-05-21,40,53,31,79,80,58,48,59
2020-05-20,41,44,25,75,88,66,50,58
2020-05-19,32,49,22,51,87,57,39,54
2020-05-18,26,49,30,64,78,72,43,53
2020-05-17,31,31,4,32,68,64,31,38
2020-05-16,47,59,11,59,85,96,50,56
2020-05-15,41,50,24,71,67,66,44,55
2020-05-14,26,47,20,64,77,54,35,45
2020-05-13,31,45,19,79,81,61,42,53
2020-05-12,23,35,27,55,61,45,41,40
2020-05-11,25,34,21,49,62,48,41,44
2020-05-10,33,31,5,29,75,49,48,37
2020-05-09,20,48,7,49,86,67,45,50
2020-05-08,41,61,23,61,74,66,48,55
2020-05-07,18,32,20,56,64,48,26,38
2020-05-06,28,45,18,67,66,46,31,47
2020-05-05,28,43,21,46,75,36,29,45
2020-05-04,16,31,27,48,67,52,31,44
2020-05-03,24,23,4,42,57,30,23,33
2020-05-02,27,40,4,43,68,51,30,44
2020-05-01,35,48,21,73,59,66,34,46
2020-04-30,36,35,22,66,63,48,28,37
2020-04-29,26,30,19,37,61,39,24,33
2020-04-28,35,51,24,75,67,69,42,45
2020-04-27,40,36,23,51,73,48,30,43
2020-04-26,20,21,10,49,73,60,31,40
2020-04-25,21,37,3,26,75,63,33,40
2020-04-24,37,39,26,48,62,79,48,43
2020-04-23,30,46,21,51,59,48,48,44
2020-04-22,29,38,23,55,60,63,47,41
2020-04-21,33,36,21,56,62,55,49,41
2020-04-20,28,35,20,51,64,46,40,41
2020-04-19,29,20,5,51,67,36,38,38
2020-04-18,28,47,3,41,73,70,53,45
2020-04-17,23,40,18,51,64,57,51,43
2020-04-16,25,46,20,51,75,52,56,44
2020-04-15,25,37,22,50,73,45,48,42
2020-04-14,34,30,16,49,73,57,49,40
2020-04-13,22,30,16,52,59,63,48,39
2020-04-12,31,16,3,42,64,52,37,34
2020-04-11,25,41,2,49,85,48,49,43
2020-04-10,20,47,21,65,84,69,52,44
2020-04-09,26,35,16,58,80,37,48,40
2020-04-08,26,38,19,58,87,57,53,42
2020-04-07,24,52,22,81,87,51,47,44
2020-04-06,20,33,27,63,75,40,49,39
2020-04-05,28,18,2,29,67,34,53,33
2020-04-04,35,31,2,34,71,49,49,39
2020-04-03,34,44,24,74,82,55,61,44
2020-04-02,30,40,24,71,68,60,48,41
