Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-06,0,94,50,57,87,75,65,49
2020-09-05,100,82,77,62,108,117,73,84
2020-09-04,100,79,83,75,115,105,79,90
2020-09-03,50,58,68,69,111,105,72,85
2020-09-02,100,48,74,67,101,110,68,59
2020-09-01,50,61,66,69,82,110,67,88
2020-08-31,200,61,62,67,91,61,67,59
2020-08-30,100,48,49,61,98,85,57,53
2020-08-29,0,145,65,56,97,99,66,70
2020-08-28,100,97,70,62,102,81,68,80
2020-08-27,200,88,76,67,112,87,68,72
2020-08-26,50,91,71,60,117,93,69,65
2020-08-25,100,55,73,60,112,81,70,66
2020-08-24,50,64,62,72,99,71,65,74
2020-08-23,0,106,51,57,104,76,58,49
2020-08-22,0,52,70,51,117,102,71,73
2020-08-21,50,109,87,67,126,82,74,71
2020-08-20,100,48,76,54,132,71,69,80
2020-08-19,100,106,92,72,125,100,69,66
2020-08-18,50,94,77,69,104,93,68,77
2020-08-17,50,76,74,66,98,85,65,71
2020-08-16,100,91,54,64,102,58,66,60
2020-08-15,0,121,83,65,115,110,70,70
2020-08-14,200,39,77,68,125,113,72,94
2020-08-13,250,76,81,77,117,96,67,79
2020-08-12,50,94,89,54,140,115,71,81
2020-08-11,100,42,98,55,142,112,70,90
2020-08-10,100,55,75,61,112,61,69,73
2020-08-09,0,64,57,61,106,69,62,48
2020-08-08,50,136,78,66,116,90,70,92
2020-08-07,100,67,86,62,125,115,74,74
2020-08-06,100,79,83,78,142,92,71,72
2020-08-05,0,52,67,69,100,90,71,71
2020-08-04,50,55,70,45,101,90,66,74
2020-08-03,100,88,74,62,112,93,68,79
2020-08-02,0,58,49,63,91,60,63,57
2020-08-01,0,115,72,49,91,85,70,66
2020-07-31,50,100,78,69,119,106,76,66
2020-07-30,0,94,83,71,137,79,74,74
2020-07-29,0,82,80,58,132,105,70,69
2020-07-28,100,91,65,64,100,98,68,64
2020-07-27,50,42,80,61,135,83,66,63
2020-07-26,0,70,38,43,86,70,55,36
2020-07-25,0,82,80,66,104,85,75,55
2020-07-24,100,42,62,47,78,96,61,41
2020-07-23,150,55,83,65,100,86,67,87
2020-07-22,150,42,79,61,106,67,66,63
2020-07-21,50,45,69,67,114,112,67,76
2020-07-20,100,45,66,67,96,93,64,78
2020-07-19,100,70,42,67,94,81,56,45
2020-07-18,0,73,66,72,106,86,68,62
2020-07-17,150,91,68,59,141,117,69,78
2020-07-16,150,85,74,72,103,107,69,66
2020-07-15,200,58,75,71,106,98,68,70
2020-07-14,100,61,71,58,101,100,69,86
2020-07-13,50,70,68,65,97,58,66,47
2020-07-12,0,118,53,61,111,57,62,58
2020-07-11,50,85,77,67,125,95,73,77
2020-07-10,50,61,69,51,108,65,71,53
