Category,Bars,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-21,47,57,64,57,78,55,39,50,51,34
2020-09-20,88,53,0,39,72,80,65,125,65,0
2020-09-19,53,76,0,48,97,79,80,50,70,84
2020-09-18,71,79,59,59,109,89,69,50,73,84
2020-09-17,35,74,71,76,101,59,55,0,70,85
2020-09-16,82,70,79,79,96,96,55,0,69,88
2020-09-15,53,61,77,45,107,65,55,75,60,76
2020-09-14,71,68,66,4,98,78,61,50,58,39
2020-09-13,44,56,0,52,102,84,81,100,64,0
2020-09-12,50,69,0,37,104,101,81,50,75,88
2020-09-11,88,79,76,71,82,110,72,50,73,90
2020-09-10,21,69,78,67,104,91,51,125,70,83
2020-09-09,53,77,76,57,79,92,42,50,62,83
2020-09-08,62,69,43,76,93,73,61,50,65,84
2020-09-07,44,59,75,76,79,83,72,100,70,45
2020-09-06,47,56,0,76,78,72,47,75,63,0
2020-09-05,53,82,0,100,89,98,81,100,79,93
2020-09-04,88,85,81,72,109,105,69,100,66,98
2020-09-03,97,82,78,77,101,77,65,0,71,94
2020-09-02,76,78,77,73,99,114,55,25,67,89
2020-09-01,50,66,65,73,82,83,49,75,68,82
2020-08-31,38,73,71,51,77,88,70,50,66,39
2020-08-30,38,45,0,59,82,73,50,50,53,0
2020-08-29,56,61,0,61,101,71,74,50,76,83
2020-08-28,62,61,71,64,93,71,47,75,61,70
2020-08-27,44,73,83,55,85,92,42,0,60,82
2020-08-26,32,69,63,57,88,89,42,50,62,73
2020-08-25,47,70,82,73,91,65,65,50,73,82
2020-08-24,65,69,73,63,91,92,45,75,59,39
2020-08-23,26,56,0,33,68,94,43,75,57,0
2020-08-22,56,78,0,53,104,93,61,75,74,89
2020-08-21,50,80,93,64,104,102,55,25,69,88
2020-08-20,59,71,134,67,96,91,61,50,68,86
2020-08-19,41,79,232,55,94,79,61,100,67,87
2020-08-18,50,73,307,79,102,71,55,25,71,81
2020-08-17,79,72,193,72,83,84,51,25,71,45
2020-08-16,53,57,0,41,99,95,59,50,70,0
2020-08-15,35,74,0,59,96,102,68,25,82,91
2020-08-14,74,82,272,65,104,105,53,50,76,91
2020-08-13,62,83,247,72,112,94,66,100,77,84
2020-08-12,56,74,203,61,115,101,66,50,71,90
2020-08-11,53,86,193,68,108,108,64,150,69,95
2020-08-10,56,83,232,67,101,95,55,100,75,47
2020-08-09,50,54,0,57,93,100,66,50,64,0
2020-08-08,47,75,0,49,102,85,80,50,85,94
2020-08-07,44,86,294,76,103,67,58,75,77,90
2020-08-06,68,82,282,72,106,118,55,125,72,86
2020-08-05,68,82,287,83,98,98,47,50,78,92
2020-08-04,41,75,359,71,91,85,70,200,71,88
2020-08-03,68,85,335,75,104,72,73,25,76,47
2020-08-02,68,60,0,71,99,81,73,150,69,0
2020-08-01,41,75,0,96,82,89,72,25,78,91
2020-07-31,88,86,555,81,104,98,80,100,76,90
2020-07-30,50,82,585,89,99,85,82,50,74,94
2020-07-29,74,86,382,77,99,92,89,125,73,91
2020-07-28,47,66,96,75,101,80,54,50,72,82
2020-07-27,76,79,97,64,99,72,72,125,69,45
2020-07-26,53,44,0,53,81,92,65,0,58,0
2020-07-25,94,86,0,79,112,98,78,50,85,99
2020-07-24,91,71,80,68,91,67,61,75,64,69
2020-07-23,29,75,103,69,93,83,57,25,69,83
2020-07-22,53,77,91,67,88,138,82,25,70,84
2020-07-21,62,74,112,52,85,110,50,50,68,88
2020-07-20,74,68,115,61,91,71,45,75,63,43
2020-07-19,76,51,0,71,70,65,55,25,62,0
2020-07-18,88,76,0,77,99,95,80,25,78,84
2020-07-17,56,62,81,73,102,86,57,75,72,81
2020-07-16,62,77,88,69,117,90,62,25,71,81
2020-07-15,53,71,66,65,86,105,59,100,67,86
2020-07-14,53,72,85,79,99,82,45,100,72,86
2020-07-13,44,74,112,65,115,89,73,75,67,50
2020-07-12,32,58,0,63,108,96,78,50,69,0
2020-07-11,82,75,0,85,104,90,96,25,81,95
