Category,Airports & Transit Centers,Bars,Beauty & Wellness,QSR,Restaurant,Retail,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index
2020-02-06,0,92,83,124,139,90,111
2020-02-05,200,95,74,99,101,140,99
2020-02-04,100,117,62,81,87,50,93
2020-02-03,0,83,83,104,111,60,109
2020-02-02,0,58,90,80,128,40,96
2020-02-01,100,61,74,72,92,80,81
2020-01-31,0,108,108,111,94,70,103
2020-01-30,100,83,101,103,138,150,110
2020-01-29,0,118,104,94,96,110,99
2020-01-28,100,97,81,78,95,80,85
2020-01-27,0,95,106,81,106,70,107
2020-01-26,0,64,86,87,91,40,83
2020-01-25,200,96,85,78,96,100,76
2020-01-24,0,96,96,129,106,120,99
2020-01-23,0,160,92,105,107,70,89
2020-01-22,0,69,85,82,102,110,87
2020-01-21,200,89,92,88,92,150,97
2020-01-20,200,120,128,92,116,140,102
2020-01-19,0,60,118,74,95,140,84
2020-01-18,0,89,130,88,82,130,104
2020-01-17,0,115,121,107,147,150,97
2020-01-16,200,155,113,120,103,90,114
2020-01-15,100,117,91,106,104,110,102
2020-01-14,200,84,101,67,76,150,97
2020-01-13,100,117,122,127,108,200,113
2020-01-12,100,51,130,120,97,90,102
2020-01-11,0,57,107,54,43,30,67
2020-01-10,0,113,132,135,136,60,101
2020-01-09,100,90,90,98,62,120,94
2020-01-08,100,66,94,103,75,90,90
2020-01-07,100,95,82,83,62,130,88
2020-01-06,0,87,124,123,71,110,113
2020-01-05,0,91,108,83,78,70,114
2020-01-04,200,98,110,126,87,140,111
2020-01-03,100,107,117,110,89,100,114
2020-01-02,200,93,127,122,80,140,113
2020-01-01,0,108,110,89,92,70,94
2019-12-31,0,72,116,97,79,90,99
2019-12-30,200,97,118,101,79,80,106
