Category,Airports & Transit Centers,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-25,54,75,58,57,73,73,120,0,0
2020-09-24,29,68,55,46,69,60,111,0,0
2020-09-23,21,55,51,38,73,65,106,0,0
2020-09-22,21,57,40,36,65,79,74,0,0
2020-09-21,14,44,38,33,58,79,71,0,0
2020-09-20,43,39,31,33,47,62,68,0,0
2020-09-19,32,68,44,34,58,89,94,0,0
2020-09-18,29,62,49,32,72,100,109,0,0
2020-09-17,71,58,47,28,65,86,70,0,0
2020-09-16,43,66,60,35,73,52,95,0,0
2020-09-15,36,59,54,38,67,59,65,0,0
2020-09-14,11,46,41,28,55,68,73,0,0
2020-09-13,39,53,46,29,50,81,79,0,0
2020-09-12,18,62,37,47,59,75,99,0,0
2020-09-11,43,70,55,41,75,76,113,0,0
2020-09-10,57,66,45,24,75,67,88,0,0
2020-09-09,29,59,48,31,62,65,84,0,0
2020-09-08,36,50,45,38,66,35,76,0,0
2020-09-07,21,49,46,26,48,60,62,0,0
2020-09-06,7,48,41,29,47,78,82,0,0
2020-09-05,39,72,52,57,80,86,98,0,0
2020-09-04,21,75,68,34,88,108,120,0,0
2020-09-03,50,71,60,38,81,100,102,0,0
2020-09-02,79,70,48,29,83,92,109,0,0
2020-09-01,43,64,42,36,71,98,95,0,0
2020-08-31,43,41,37,32,54,75,66,0,0
2020-08-30,57,45,33,28,57,56,56,0,0
2020-08-29,29,66,33,36,69,57,95,0,0
2020-08-28,36,65,43,48,69,90,63,0,0
2020-08-27,43,66,52,36,67,67,76,0,0
2020-08-26,57,60,48,23,70,97,80,0,0
2020-08-25,50,60,44,30,68,67,85,0,0
2020-08-24,21,51,49,29,73,67,70,0,0
2020-08-23,25,46,41,30,46,67,65,0,0
2020-08-22,7,74,48,37,78,97,104,0,0
2020-08-21,14,73,58,45,76,87,111,0,0
2020-08-20,36,69,49,35,75,100,102,0,0
2020-08-19,71,66,52,30,70,106,70,0,0
2020-08-18,29,60,48,34,76,86,84,0,0
2020-08-17,64,59,52,37,67,73,72,0,0
2020-08-16,54,49,51,39,60,65,62,0,0
2020-08-15,43,74,45,32,60,67,79,0,0
2020-08-14,54,81,68,38,90,106,94,0,0
2020-08-13,57,60,54,38,73,92,94,0,0
2020-08-12,71,71,59,39,73,57,76,0,0
2020-08-11,79,73,65,27,92,60,63,0,0
2020-08-10,36,46,51,20,80,56,39,0,0
2020-08-09,36,55,56,31,53,89,78,0,0
2020-08-08,46,76,51,31,70,43,89,0,0
2020-08-07,71,82,56,43,86,75,98,0,0
2020-08-06,46,76,53,32,75,94,80,0,0
2020-08-05,64,63,50,30,72,76,79,0,0
2020-08-04,43,71,53,35,79,70,82,0,0
2020-08-03,43,50,49,44,94,92,83,0,0
2020-08-02,46,54,41,36,55,76,68,0,0
2020-08-01,36,68,52,40,77,70,113,0,0
2020-07-31,100,79,56,41,92,95,112,0,0
2020-07-30,57,78,57,33,86,79,78,0,0
2020-07-29,64,70,52,23,74,70,82,0,0
2020-07-28,61,68,66,28,72,90,104,0,5
2020-07-27,39,53,47,34,72,68,90,0,18
2020-07-26,29,48,43,27,50,78,57,0,27
2020-07-25,54,68,58,29,74,87,118,0,44
2020-07-24,50,62,53,33,65,62,84,0,38
2020-07-23,43,76,68,35,70,76,82,0,43
2020-07-22,43,74,57,38,77,95,98,0,37
2020-07-21,107,68,47,28,74,78,77,0,35
2020-07-20,64,50,48,19,71,68,66,0,39
2020-07-19,18,43,40,24,58,71,56,0,40
2020-07-18,43,74,56,43,70,78,107,0,42
2020-07-17,114,71,57,36,78,86,96,0,46
2020-07-16,96,68,60,32,69,71,80,0,44
2020-07-15,39,67,57,41,65,75,87,0,41
2020-07-14,36,62,48,37,71,83,93,0,41
2020-07-13,71,60,59,31,65,100,102,0,44
2020-07-12,57,54,39,26,54,52,50,0,35
2020-07-11,82,81,50,29,56,71,79,0,37
2020-07-10,79,85,52,31,73,81,100,0,37
2020-07-09,36,54,43,26,69,90,61,0,37
