Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-25,38,79,57,75,72,77,69,70,63,91,84,0
2020-10-24,54,75,88,88,85,85,111,92,83,98,96,89
2020-10-23,38,50,81,74,68,70,74,82,85,80,89,73
2020-10-22,54,42,74,70,63,75,91,71,57,87,78,81
2020-10-21,23,54,76,81,52,67,70,75,79,69,83,80
2020-10-20,38,29,73,63,55,60,89,72,91,78,80,77
2020-10-19,54,75,64,73,67,62,81,74,73,86,78,75
2020-10-18,69,67,81,63,80,63,75,75,81,92,78,0
2020-10-17,54,63,88,89,88,81,67,81,77,108,103,84
2020-10-16,54,75,79,78,76,81,74,87,80,71,97,72
2020-10-15,54,71,70,76,61,76,77,79,71,81,87,73
2020-10-14,38,50,59,72,57,67,61,69,67,71,85,79
2020-10-13,38,50,56,73,61,70,81,78,64,80,78,70
2020-10-12,46,75,53,75,64,61,68,74,63,91,80,70
2020-10-11,38,67,49,60,71,67,73,63,63,84,84,0
2020-10-10,69,71,66,83,65,77,72,94,73,98,92,74
2020-10-09,46,46,72,85,63,89,62,88,86,91,87,69
2020-10-08,46,79,69,83,58,79,63,73,69,83,80,79
2020-10-07,38,46,68,86,63,77,78,74,72,81,85,76
2020-10-06,38,50,73,64,59,68,90,81,59,83,78,72
2020-10-05,46,46,61,67,61,64,86,64,63,67,79,77
2020-10-04,38,33,51,65,70,69,55,70,69,86,77,0
2020-10-03,38,46,57,77,81,78,58,79,64,121,99,79
2020-10-02,38,71,64,80,74,83,79,78,78,87,91,86
2020-10-01,69,42,64,74,62,91,72,83,66,79,74,77
2020-09-30,92,67,80,77,74,77,86,69,65,87,79,81
2020-09-29,62,33,65,74,65,65,63,77,71,80,83,76
2020-09-28,69,71,57,65,59,62,79,61,62,68,77,69
2020-09-27,46,63,67,74,79,77,56,80,63,74,82,0
2020-09-26,38,46,69,82,71,73,79,72,80,104,88,78
2020-09-25,54,50,77,75,74,79,59,70,74,81,87,72
2020-09-24,31,42,54,65,59,70,78,59,64,70,80,71
2020-09-23,46,42,66,69,64,74,79,70,76,74,89,76
2020-09-22,69,13,60,72,59,65,77,59,63,73,74,65
2020-09-21,54,58,48,59,55,54,68,59,51,74,68,62
2020-09-20,54,42,58,60,65,71,64,56,64,63,67,0
2020-09-19,69,42,73,76,80,72,70,82,81,111,104,69
2020-09-18,31,54,56,76,72,69,70,72,77,83,85,69
2020-09-17,38,33,64,69,70,77,79,57,69,60,75,72
2020-09-16,69,54,71,61,51,71,75,67,73,73,81,76
2020-09-15,100,50,62,60,60,68,73,53,58,53,68,66
2020-09-14,46,67,62,71,50,64,63,69,60,71,79,72
2020-09-13,77,54,68,67,78,87,54,61,84,88,79,0
2020-09-12,46,67,72,73,83,72,77,74,77,104,93,77
2020-09-11,54,58,72,73,82,86,81,74,82,80,86,80
2020-09-10,54,58,72,72,62,68,80,67,83,75,83,78
2020-09-09,54,42,79,67,62,62,72,64,83,71,76,75
2020-09-08,69,29,64,63,54,83,61,59,63,79,73,80
2020-09-07,54,63,59,65,83,70,68,57,70,73,76,73
2020-09-06,38,46,61,67,76,68,62,54,66,91,74,0
2020-09-05,54,58,71,80,79,91,90,70,80,68,78,81
2020-09-04,54,46,89,95,84,96,79,81,100,85,88,93
2020-09-03,38,79,83,76,64,84,89,82,73,85,88,88
2020-09-02,62,38,75,75,65,101,78,82,89,65,81,76
2020-09-01,62,21,65,68,66,83,83,73,68,72,83,77
2020-08-31,54,46,53,64,66,68,67,64,83,71,71,68
2020-08-30,31,50,44,57,63,86,62,62,60,81,72,0
2020-08-29,54,50,56,68,71,77,70,66,74,96,88,57
2020-08-28,62,29,60,70,71,62,67,66,77,56,68,60
2020-08-27,54,33,71,72,72,89,93,77,77,80,77,72
2020-08-26,62,29,63,72,63,82,83,66,87,75,75,67
2020-08-25,54,33,71,64,76,71,80,73,69,73,73,75
2020-08-24,77,54,68,75,80,65,82,72,72,62,70,70
2020-08-23,54,50,54,62,83,64,48,67,64,56,71,0
2020-08-22,46,33,81,82,85,72,68,90,70,88,92,75
2020-08-21,62,50,71,77,77,77,71,79,82,87,86,73
2020-08-20,69,54,56,73,74,72,91,87,74,76,77,77
2020-08-19,85,46,75,67,72,66,87,82,72,79,78,72
2020-08-18,85,42,69,80,85,67,87,66,63,83,82,71
2020-08-17,85,67,68,72,65,68,79,75,69,80,74,76
2020-08-16,54,58,60,72,83,65,75,80,76,95,86,0
2020-08-15,100,75,64,82,89,81,78,84,82,88,87,70
2020-08-14,46,75,68,84,70,79,82,88,73,73,83,79
2020-08-13,54,42,68,73,70,70,75,76,78,88,81,75
2020-08-12,54,83,72,88,76,73,77,87,91,80,86,80
2020-08-11,62,38,95,104,72,72,85,89,82,104,88,84
2020-08-10,62,92,66,77,65,71,67,67,70,59,76,76
2020-08-09,54,67,59,70,71,66,63,77,69,76,76,0
2020-08-08,77,79,63,87,93,74,102,74,77,80,75,78
2020-08-07,85,29,66,81,74,75,79,84,78,66,78,74
2020-08-06,85,54,67,84,65,75,88,70,83,68,84,84
2020-08-05,69,33,78,79,76,72,73,77,80,73,82,76
2020-08-04,69,25,56,75,64,67,93,85,64,65,80,78
2020-08-03,69,63,70,84,74,80,84,71,76,80,79,87
2020-08-02,92,71,55,72,96,100,64,82,71,112,84,0
2020-08-01,69,67,46,69,78,87,75,70,72,89,76,65
2020-07-31,85,88,77,75,73,89,79,88,89,64,92,77
2020-07-30,77,67,76,81,79,81,66,83,82,78,86,81
2020-07-29,62,33,60,76,70,80,74,72,86,86,88,73
2020-07-28,77,25,65,68,76,67,76,71,69,66,75,70
2020-07-27,69,63,63,73,77,74,76,90,74,96,83,77
2020-07-26,85,63,54,46,51,55,58,52,59,72,68,0
2020-07-25,85,38,66,76,78,80,77,72,81,111,96,78
2020-07-24,77,58,52,56,56,50,59,59,60,47,60,58
2020-07-23,77,63,69,74,65,77,70,69,66,81,82,75
2020-07-22,62,42,69,75,62,67,73,80,74,94,85,75
