Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-13,68,46,56,54,86,11,82,23,68,54,65,55,44
2020-10-12,68,36,46,67,82,12,82,19,63,42,62,31,58
2020-10-11,42,38,48,18,92,10,59,13,58,44,87,17,58
2020-10-10,45,57,74,29,99,12,90,20,77,57,100,28,62
2020-10-09,68,73,69,75,75,11,99,23,72,51,88,34,71
2020-10-08,65,84,66,54,82,11,91,26,77,65,97,55,83
2020-10-07,48,54,69,75,80,10,98,23,73,53,93,45,81
2020-10-06,48,57,59,68,82,10,91,20,78,56,78,55,50
2020-10-05,32,43,62,65,84,10,86,23,64,58,59,83,54
2020-10-04,29,30,43,19,80,8,53,14,58,52,60,38,44
2020-10-03,19,66,64,36,86,6,83,17,84,69,83,34,85
2020-10-02,39,52,74,74,97,9,104,21,85,72,83,45,58
2020-10-01,35,79,65,52,83,9,96,22,85,66,63,76,42
2020-09-30,61,63,69,76,81,8,95,20,76,66,86,41,65
2020-09-29,55,41,61,59,88,11,91,24,67,55,54,55,87
2020-09-28,90,38,48,60,85,11,80,18,67,56,61,48,56
2020-09-27,35,32,41,17,77,8,74,12,59,54,62,17,35
2020-09-26,39,50,67,26,85,9,93,19,74,63,102,28,54
2020-09-25,55,55,74,62,82,8,110,24,87,64,77,31,121
2020-09-24,61,55,59,56,80,8,101,21,71,58,58,34,83
2020-09-23,61,54,62,74,80,12,108,20,66,59,74,41,113
2020-09-22,65,41,63,63,101,9,101,20,69,53,73,38,38
2020-09-21,48,41,49,56,78,6,88,18,63,47,62,48,52
2020-09-20,23,21,39,18,80,8,87,20,52,42,68,38,37
2020-09-19,45,34,68,32,99,6,92,21,73,58,108,45,58
2020-09-18,48,59,64,74,85,9,108,21,72,55,77,38,60
2020-09-17,45,41,59,55,100,11,94,18,63,61,64,55,46
2020-09-16,58,50,53,75,91,12,101,26,66,56,71,59,58
2020-09-15,55,30,53,63,76,9,96,28,64,53,29,52,33
2020-09-14,52,54,47,70,74,9,83,27,58,43,62,52,56
2020-09-13,19,27,43,17,90,7,83,20,56,48,34,14,62
2020-09-12,29,41,58,40,90,7,83,17,68,57,69,24,71
2020-09-11,45,66,63,58,84,10,110,29,74,57,65,38,63
2020-09-10,65,70,56,64,101,10,95,25,66,55,59,76,58
2020-09-09,45,63,57,60,90,11,102,26,64,61,50,59,62
2020-09-08,71,48,61,47,85,7,89,25,64,55,53,38,62
2020-09-07,39,29,49,49,105,10,89,8,51,50,71,17,40
2020-09-06,26,34,51,20,102,8,67,13,50,54,62,34,40
2020-09-05,39,43,75,29,95,7,112,23,73,57,80,24,73
2020-09-04,48,79,82,76,104,10,128,29,82,71,82,41,75
2020-09-03,55,52,68,66,99,7,120,29,82,61,65,21,62
2020-09-02,48,84,66,77,89,8,107,22,74,54,59,41,54
2020-09-01,84,50,67,68,83,6,101,24,71,57,53,48,56
2020-08-31,61,52,48,63,76,8,104,22,56,58,41,34,58
2020-08-30,19,21,44,18,76,8,81,14,48,35,41,24,33
2020-08-29,39,36,65,29,80,8,102,18,63,68,72,34,46
2020-08-28,58,45,63,57,74,8,109,24,63,55,50,38,40
2020-08-27,87,55,67,68,83,8,109,23,78,57,49,48,50
2020-08-26,71,82,62,65,74,7,102,31,74,55,44,59,65
2020-08-25,77,98,63,62,83,7,111,25,70,58,49,21,65
2020-08-24,74,52,56,63,82,10,108,24,72,53,51,31,38
2020-08-23,29,23,40,17,74,7,78,8,52,41,51,21,48
2020-08-22,52,43,59,38,85,8,105,22,73,48,72,41,44
2020-08-21,74,70,71,66,88,7,115,21,80,60,71,28,62
2020-08-20,61,59,61,58,83,7,132,26,70,61,53,62,88
2020-08-19,97,61,62,69,83,7,123,23,68,53,44,41,50
2020-08-18,52,68,70,62,88,10,118,25,74,62,46,34,60
2020-08-17,74,80,53,63,80,8,107,21,65,53,39,34,56
2020-08-16,23,34,48,22,87,7,84,18,59,51,38,7,56
2020-08-15,32,59,64,38,89,8,109,19,71,60,50,48,48
