Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-08-23,0,79,55,40,33,38,14,63,59,88,30,56,2
2020-08-22,0,75,81,41,38,70,18,80,70,95,38,72,3
2020-08-21,0,89,91,57,39,159,15,89,107,98,51,79,124
2020-08-20,0,43,87,74,36,710,12,84,91,100,46,74,112
2020-08-19,0,71,86,74,34,"1,133",7,74,87,85,59,69,109
2020-08-18,0,64,89,64,34,"1,901",8,74,95,85,57,71,115
2020-08-17,0,39,76,55,36,"1,181",3,76,98,117,50,72,94
2020-08-16,0,79,71,39,33,982,4,62,85,98,40,63,5
2020-08-15,0,93,87,70,36,"1,122",14,79,101,110,44,82,3
2020-08-14,0,75,90,70,42,967,9,78,107,110,58,79,119
2020-08-13,0,71,80,63,38,"1,162",9,68,91,76,60,73,101
2020-08-12,100,50,79,81,39,636,4,64,84,66,60,66,106
2020-08-11,0,82,89,51,13,806,14,81,75,27,55,69,107
2020-08-10,0,43,68,40,10,906,8,65,108,10,45,78,101
2020-08-09,0,64,63,39,41,601,5,72,84,61,38,71,4
2020-08-08,100,50,88,65,42,688,9,95,95,107,45,92,2
2020-08-07,0,89,110,72,43,833,8,96,103,122,50,91,117
2020-08-06,0,57,98,70,38,973,15,103,111,85,52,78,114
2020-08-05,100,104,92,78,40,971,9,91,88,93,55,85,114
2020-08-04,0,71,79,63,43,896,12,101,87,85,58,81,131
2020-08-03,0,75,86,71,40,"1,124",12,85,91,61,57,80,124
2020-08-02,0,86,64,46,40,"1,481",3,83,86,90,42,80,6
2020-08-01,0,43,91,52,42,"1,479",4,90,82,73,53,83,3
2020-07-31,100,89,99,51,41,836,12,110,108,83,58,86,132
2020-07-30,0,75,99,73,41,"1,096",22,90,105,90,62,86,124
2020-07-29,100,68,80,82,42,"1,323",23,99,102,88,60,79,127
2020-07-28,0,50,85,68,39,880,28,93,90,95,54,79,105
2020-07-27,0,57,81,65,36,207,30,83,85,100,55,79,108
2020-07-26,0,61,60,36,35,219,12,66,73,68,36,63,3
2020-07-25,0,100,91,60,41,190,20,104,95,129,47,81,5
2020-07-24,0,93,73,44,35,189,20,80,101,110,47,76,85
2020-07-23,100,93,88,71,42,195,31,90,82,120,61,81,111
2020-07-22,100,93,76,75,45,180,16,86,103,115,63,77,119
2020-07-21,0,71,81,65,43,185,23,84,96,110,54,78,120
2020-07-20,0,64,66,48,35,191,22,94,80,78,56,70,87
2020-07-19,0,54,49,34,38,334,16,72,73,59,37,61,3
