Category,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-10-16,33,60,68,0,118,67,64,73,0,17,64
2020-10-15,100,68,70,0,147,71,64,85,50,23,60
2020-10-14,0,75,86,0,135,67,60,75,0,20,67
2020-10-13,67,62,72,0,100,52,51,42,0,19,71
2020-10-12,33,46,65,0,76,51,44,51,50,16,45
2020-10-11,33,49,56,0,124,54,40,47,50,14,40
2020-10-10,67,60,67,0,135,68,62,59,0,15,50
2020-10-09,0,76,66,0,129,55,73,109,0,15,67
2020-10-08,67,60,71,0,135,59,71,109,0,19,61
2020-10-07,33,67,70,0,106,87,57,58,0,19,61
2020-10-06,33,64,70,0,106,59,62,68,0,22,70
2020-10-05,100,75,68,0,147,66,57,75,0,19,62
2020-10-04,33,58,48,0,94,36,43,62,0,13,36
2020-10-03,0,62,70,0,100,71,54,43,50,9,46
2020-10-02,0,68,78,0,141,77,70,47,0,21,78
2020-10-01,33,64,76,0,82,85,62,95,0,24,87
2020-09-30,0,71,78,0,82,61,59,76,50,29,64
2020-09-29,33,61,64,0,82,62,65,82,0,19,49
2020-09-28,0,39,64,0,118,63,58,73,50,16,59
2020-09-27,100,38,53,0,141,48,54,54,0,16,36
2020-09-26,0,63,64,0,106,68,64,65,0,19,48
2020-09-25,33,86,67,0,165,78,73,82,150,20,74
2020-09-24,0,70,64,0,147,67,74,81,0,27,65
2020-09-23,0,71,86,0,129,72,63,71,0,23,68
2020-09-22,67,60,61,0,153,61,62,59,0,27,57
2020-09-21,0,52,57,0,153,57,49,57,50,22,52
2020-09-20,33,45,47,0,88,46,46,38,0,16,38
2020-09-19,33,56,58,0,94,49,62,66,50,19,66
2020-09-18,0,57,70,0,171,56,54,63,0,23,64
2020-09-17,0,61,64,0,165,68,68,73,50,27,49
2020-09-16,33,83,63,0,159,71,66,59,50,35,67
2020-09-15,33,49,73,0,153,54,58,63,0,34,57
2020-09-14,100,45,64,0,159,67,61,65,0,29,50
2020-09-13,100,52,52,0,147,51,51,57,0,19,37
2020-09-12,33,67,62,0,153,61,60,49,50,24,51
2020-09-11,33,81,86,0,206,68,68,78,50,33,78
2020-09-10,0,57,80,0,159,85,83,65,150,39,67
2020-09-09,33,50,80,0,194,59,62,52,0,35,60
2020-09-08,67,46,67,0,171,68,65,72,0,32,57
2020-09-07,33,65,74,0,153,51,54,43,50,21,36
2020-09-06,33,55,59,0,165,55,57,43,50,20,38
2020-09-05,33,81,78,0,241,56,75,68,50,27,67
2020-09-04,33,94,106,0,235,76,80,72,100,38,71
2020-09-03,0,87,82,0,224,97,82,92,0,36,93
2020-09-02,0,70,79,0,218,62,78,82,0,38,80
2020-09-01,33,83,58,0,224,73,73,84,0,39,69
2020-08-31,0,68,62,0,212,52,57,43,50,33,67
2020-08-30,0,48,46,0,100,53,50,51,0,12,34
2020-08-29,33,80,53,0,129,50,55,52,0,19,69
2020-08-28,0,76,66,0,124,60,66,56,0,19,64
2020-08-27,33,74,77,0,82,62,77,71,50,23,88
2020-08-26,0,85,61,0,124,53,69,62,0,27,71
2020-08-25,67,61,70,0,71,63,62,58,0,26,54
2020-08-24,0,63,72,0,106,63,66,54,50,26,54
2020-08-23,0,42,46,0,82,54,56,46,0,14,39
2020-08-22,0,63,60,0,106,64,71,49,0,17,53
2020-08-21,0,76,71,0,141,61,68,82,50,26,84
2020-08-20,0,69,62,0,112,66,64,70,50,34,58
2020-08-19,33,70,76,0,118,71,76,91,0,30,63
2020-08-18,33,60,78,0,135,61,66,65,50,28,60
2020-08-17,33,69,67,0,82,70,63,67,0,26,57
2020-08-16,0,54,47,0,147,46,55,38,50,17,42
2020-08-15,0,77,52,0,94,69,68,54,0,14,57
2020-08-14,33,83,81,0,153,68,85,78,0,24,67
2020-08-13,33,79,83,0,100,74,81,65,50,29,71
2020-08-12,33,85,73,0,153,75,66,62,0,23,64
2020-08-11,67,73,80,0,106,82,87,84,0,26,82
2020-08-10,0,67,66,0,129,52,61,63,0,20,66
2020-08-09,0,65,58,0,106,52,59,23,0,14,42
2020-08-08,33,69,48,0,171,65,72,35,0,19,66
2020-08-07,0,69,58,0,141,66,81,63,0,17,91
2020-08-06,33,56,73,0,165,81,71,87,0,22,81
2020-08-05,33,65,86,0,124,81,79,47,50,24,77
2020-08-04,33,62,67,0,88,93,69,35,50,23,82
2020-08-03,0,68,80,0,112,72,78,46,0,24,79
2020-08-02,0,62,64,0,112,64,68,23,0,13,52
2020-08-01,0,82,63,0,118,78,68,41,0,12,81
2020-07-31,0,104,73,0,82,89,80,46,50,24,107
2020-07-30,33,62,56,0,106,79,89,29,50,23,89
2020-07-29,33,74,70,0,118,80,75,66,50,20,71
2020-07-28,100,75,64,0,112,63,75,43,0,20,79
2020-07-27,0,71,72,0,118,82,70,42,0,15,86
2020-07-26,33,62,45,0,41,43,55,30,0,10,52
2020-07-25,0,87,64,0,100,62,78,57,50,19,83
2020-07-24,0,70,54,0,76,63,70,43,0,10,72
2020-07-23,0,73,80,0,124,72,85,44,50,15,88
2020-07-22,33,73,67,0,88,68,75,49,0,15,88
2020-07-21,0,74,80,0,147,73,74,51,100,18,81
2020-07-20,0,62,61,0,47,67,70,52,0,17,76
2020-07-19,33,62,48,0,71,52,50,37,0,13,43
2020-07-18,33,64,56,0,118,64,72,51,0,10,67
2020-07-17,0,76,52,0,147,59,76,75,0,22,81
2020-07-16,33,85,61,0,112,74,81,54,0,20,98
2020-07-15,67,62,61,0,88,75,82,62,50,16,67
2020-07-14,33,73,67,0,147,88,80,78,50,15,85
2020-07-13,33,71,50,0,76,64,81,66,50,22,68
2020-07-12,33,69,43,0,88,52,66,63,0,12,48
2020-07-11,0,68,49,0,141,69,75,67,0,19,69
2020-07-10,0,74,58,0,82,80,83,87,0,25,82
2020-07-09,0,68,54,0,118,75,79,75,100,24,67
2020-07-08,33,88,50,0,94,66,84,86,0,22,66
2020-07-07,33,65,58,0,94,70,77,56,50,18,74
