Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-09,38,38,70,67,91,77,57,78,73,52,63
2020-09-08,37,42,65,66,89,77,55,82,63,50,62
2020-09-07,26,45,52,39,101,68,49,51,76,43,65
2020-09-06,25,45,51,47,83,74,56,55,54,45,62
2020-09-05,39,60,72,59,104,96,64,73,77,61,80
2020-09-04,52,66,87,82,114,95,67,106,85,68,84
2020-09-03,54,44,77,70,98,95,58,84,77,60,77
2020-09-02,37,56,71,67,93,89,56,90,76,52,76
2020-09-01,44,34,65,57,91,67,64,79,63,51,63
2020-08-31,34,38,61,54,87,78,57,74,80,43,72
2020-08-30,22,37,59,43,85,70,43,67,57,42,54
2020-08-29,25,43,79,56,90,74,61,69,91,41,56
2020-08-28,36,46,66,55,84,73,52,73,64,48,65
2020-08-27,48,40,66,75,88,73,55,79,67,55,76
2020-08-26,34,38,71,62,91,81,57,81,66,50,65
2020-08-25,41,41,64,64,98,75,50,81,67,53,75
2020-08-24,29,38,65,57,87,67,63,71,72,49,73
2020-08-23,32,30,52,41,86,75,44,64,53,48,65
2020-08-22,38,39,71,51,107,81,58,65,78,58,78
2020-08-21,47,43,74,67,96,81,58,93,70,61,77
2020-08-20,42,39,71,72,82,86,63,81,77,54,69
2020-08-19,39,43,74,65,86,83,57,76,79,53,76
2020-08-18,41,41,71,68,97,75,52,78,76,53,66
2020-08-17,35,41,67,74,85,82,59,77,83,54,68
2020-08-16,29,40,61,48,91,72,56,72,74,51,68
2020-08-15,27,52,68,65,96,72,62,73,80,56,73
2020-08-14,45,48,80,91,103,85,68,90,79,57,73
2020-08-13,43,45,74,71,90,82,65,90,80,53,75
2020-08-12,43,42,74,73,98,92,58,82,82,56,83
2020-08-11,38,43,79,67,97,89,76,81,81,54,83
2020-08-10,26,36,69,73,99,84,61,74,78,50,76
2020-08-09,24,37,57,46,97,76,60,45,63,52,65
2020-08-08,31,44,76,58,107,85,79,68,77,57,87
2020-08-07,45,57,86,75,107,84,64,84,97,64,75
2020-08-06,45,43,81,67,88,98,68,87,80,57,69
2020-08-05,41,52,69,81,82,70,72,84,77,53,74
2020-08-04,34,42,62,64,82,69,61,78,79,50,58
2020-08-03,38,47,66,72,90,84,64,72,71,52,78
2020-08-02,28,41,56,49,91,84,50,68,64,50,65
2020-08-01,32,35,69,57,89,79,62,66,71,57,71
2020-07-31,40,53,70,70,102,76,69,86,67,56,77
2020-07-30,37,46,78,85,99,88,59,69,85,56,74
2020-07-29,38,40,69,72,77,71,59,83,77,54,65
2020-07-28,43,42,66,74,83,79,65,67,74,53,61
2020-07-27,32,48,67,74,83,79,61,79,69,49,56
2020-07-26,24,32,38,40,63,63,45,43,51,43,50
2020-07-25,32,46,73,64,96,74,61,71,84,59,74
2020-07-24,35,56,59,61,79,65,43,69,58,45,63
2020-07-23,46,50,65,65,82,76,64,82,78,55,62
2020-07-22,42,66,64,73,87,74,59,77,79,55,69
2020-07-21,39,58,63,68,93,81,63,67,71,53,59
2020-07-20,32,55,53,63,78,75,62,79,69,45,52
2020-07-19,22,45,43,36,70,56,50,57,61,43,54
2020-07-18,24,50,64,56,85,77,60,65,71,48,64
2020-07-17,35,58,66,63,72,89,56,82,77,52,52
2020-07-16,42,55,73,73,96,86,61,74,82,55,71
2020-07-15,40,50,65,65,80,95,63,80,83,52,65
2020-07-14,29,57,69,69,91,85,71,70,81,50,63
2020-07-13,36,56,65,70,87,81,61,85,73,48,73
2020-07-12,25,54,62,49,93,79,57,62,79,40,48
2020-07-11,26,55,72,64,91,88,61,71,84,51,78
2020-07-10,31,63,69,73,90,78,56,76,74,48,62
2020-07-09,32,34,66,60,90,84,59,76,72,47,61
2020-07-08,35,55,66,71,80,80,68,68,74,49,73
2020-07-07,29,53,62,55,80,68,48,61,61,42,49
2020-07-06,25,51,59,62,78,84,59,75,65,46,56
2020-07-05,23,51,55,33,92,68,52,61,65,40,52
2020-07-04,17,41,49,35,97,61,42,48,57,34,44
2020-07-03,21,60,63,48,93,72,61,72,70,46,54
2020-07-02,42,55,69,58,85,79,65,71,66,56,80
2020-07-01,33,53,68,52,88,89,61,91,80,47,69
2020-06-30,31,51,60,52,80,76,58,80,62,45,67
2020-06-29,28,49,61,59,73,72,56,79,65,41,62
2020-06-28,18,47,47,35,75,75,52,53,61,30,51
2020-06-27,18,51,61,49,99,71,59,77,81,42,82
2020-06-26,32,53,61,48,67,72,48,67,74,50,62
2020-06-25,28,56,61,53,83,80,59,80,85,50,72
2020-06-24,21,48,47,43,68,63,50,62,63,38,61
2020-06-23,33,48,57,54,89,75,56,82,63,47,63
2020-06-22,24,54,58,54,68,66,56,67,65,40,61
2020-06-21,23,38,55,44,108,58,63,52,71,48,64
2020-06-20,22,50,69,55,102,71,60,79,79,53,79
2020-06-19,26,51,66,60,77,68,49,76,68,51,61
2020-06-18,22,57,62,50,88,78,52,74,83,47,72
2020-06-17,25,63,64,59,83,68,59,78,70,43,61
2020-06-16,26,35,65,59,81,91,59,70,72,49,78
2020-06-15,32,51,70,60,87,89,55,73,72,47,68
2020-06-14,29,37,49,46,68,59,48,65,69,32,57
2020-06-13,38,52,70,58,87,62,63,74,76,44,84
2020-06-12,40,57,70,57,90,89,63,83,80,52,99
2020-06-11,19,54,65,54,89,87,68,75,69,46,76
2020-06-10,21,48,64,58,76,81,56,71,76,42,67
2020-06-09,16,40,54,40,74,68,51,60,65,36,67
2020-06-08,15,40,67,53,73,76,63,74,65,41,73
2020-06-07,8,32,34,26,65,58,41,48,60,23,39
2020-06-06,12,45,68,55,99,87,65,72,68,38,80
2020-06-05,22,31,64,61,86,94,63,81,67,43,71
2020-06-04,14,44,51,40,71,70,61,74,68,34,59
2020-06-03,16,36,57,43,71,70,60,69,63,36,57
2020-06-02,11,23,44,40,80,70,57,65,56,31,55
2020-06-01,9,30,57,48,81,71,63,70,66,26,57
2020-05-31,6,28,46,27,62,55,45,69,65,21,44
2020-05-30,9,41,61,50,85,70,69,58,74,27,61
2020-05-29,21,46,63,45,83,80,65,60,67,40,54
2020-05-28,18,32,54,43,71,70,60,73,59,36,51
2020-05-27,18,45,58,42,85,65,73,66,72,43,61
2020-05-26,18,33,59,44,79,81,72,65,57,38,57
2020-05-25,10,39,53,37,97,65,52,54,68,27,37
2020-05-24,16,31,53,35,100,61,55,54,75,30,55
2020-05-23,15,51,61,44,95,70,68,58,71,36,58
2020-05-22,20,41,61,46,85,86,75,76,72,44,65
