short_date,zipcode,crash_count
2020-07-31,60639,16
2019-09-13,60607,16
2020-07-15,60619,16
2020-07-05,60612,16
2020-06-20,60617,16
2019-07-06,60623,16
2019-01-18,60639,16
2020-07-04,60644,16
2019-03-25,60639,16
2021-02-27,60639,16
2020-08-08,60609,16
2020-07-14,60619,16
2019-10-26,60619,15
2019-04-16,60623,15
2020-09-02,60639,15
2021-02-19,60644,15
2019-02-14,60639,15
2019-02-14,60632,15
2019-07-08,60623,15
2019-05-20,60616,15
2021-02-06,60641,15
2019-08-13,60618,15
2019-02-14,60620,15
2019-06-08,60620,15
2020-01-10,60639,15
2019-02-13,60647,15
2020-09-01,60620,15
2019-04-12,60617,15
2019-05-19,60632,15
2020-01-10,60652,15
2020-10-21,60639,15
2020-01-17,60647,15
2020-01-17,60620,15
2020-08-22,60639,15
2019-12-18,60608,15
2020-08-22,60651,15
2020-10-21,60620,15
2021-02-19,60609,15
2019-04-22,60608,15
2019-06-26,60616,15
2019-10-30,60619,15
2021-01-26,60608,15
2021-03-03,60629,15
2020-10-22,60623,15
2020-06-15,60620,15
2019-06-16,60629,15
2019-08-08,60620,15
2020-10-24,60620,15
2021-02-07,60619,15
2020-07-04,60639,15
2020-10-30,60620,15
2019-09-03,60639,15
2020-11-07,60618,15
2019-12-31,60619,15
2019-05-23,60608,15
2020-12-15,60628,15
2020-08-04,60644,15
2019-04-12,60632,15
2020-11-07,60639,15
2019-03-15,60629,15
2019-04-12,60629,15
2019-03-15,60639,15
2019-04-13,60614,15
2019-05-24,60628,15
2019-12-24,60639,15
2019-06-07,60639,15
2019-10-29,60608,15
2020-05-03,60619,15
2019-01-10,60608,15
2019-07-07,60628,15
2019-09-28,60619,15
2019-01-18,60634,15
2021-02-05,60619,15
2019-03-04,60641,15
2021-02-05,60644,15
2019-04-15,60607,15
2020-07-04,60628,15
2020-08-03,60632,15
2019-06-25,60612,15
2020-07-04,60612,15
2020-10-30,60634,15
2020-10-30,60644,15
2019-04-14,60632,15
2020-08-28,60632,15
2020-08-27,60637,15
2020-08-28,60624,15
2019-07-09,60608,15
2019-06-16,60623,15
2021-02-05,60641,15
2020-08-28,60609,15
2019-03-05,60608,15
2020-10-31,60620,15
2019-03-05,60618,15
2019-05-17,60647,15
2019-01-16,60608,15
2020-09-05,60624,15
2019-08-01,60619,15
2020-06-20,60623,15
2019-09-15,60611,15
2020-06-20,60639,15
2019-03-12,60639,15
2020-08-01,60608,15
2020-03-07,60619,15
2020-02-21,60609,15
2020-02-21,60608,15
2019-02-23,60617,15
2020-09-30,60619,15
2020-03-08,60620,15
2019-10-07,60620,15
2019-06-28,60620,15
2019-01-07,60609,15
2020-03-09,60629,15
2019-07-27,60639,15
2020-12-24,60628,15
2020-08-01,60617,15
2020-02-15,60654,15
2020-09-16,60639,15
2020-10-03,60617,15
2019-09-16,60639,15
2020-06-20,60621,15
2019-10-11,60619,15
2020-06-22,60644,15
2020-09-25,60624,15
2020-02-29,60620,15
2020-06-19,60619,15
2020-02-28,60644,15
2020-09-24,60620,15
2019-10-09,60647,15
2020-06-19,60620,15
2019-10-09,60612,15
2020-02-27,60629,15
2019-07-12,60605,15
2020-09-25,60620,15
2020-09-25,60629,15
2019-10-07,60639,15
2019-01-07,60639,15
2019-07-30,60617,15
2019-10-10,60639,15
2020-02-26,60619,15
2020-09-26,60619,15
2019-05-08,60608,15
2019-10-07,60647,15
2019-10-07,60641,15
2019-07-28,60647,15
2020-09-20,60629,15
2020-03-12,60651,15
2020-07-28,60636,15
2019-05-17,60618,15
2020-10-14,60629,15
2020-02-03,60639,15
2019-05-13,60639,15
2020-02-01,60647,15
2019-06-28,60644,15
2021-01-01,60618,15
2020-02-01,60609,15
2021-01-01,60624,15
2020-01-30,60660,15
2019-08-05,60649,15
2019-04-26,60644,15
2021-02-09,60624,15
2019-05-13,60608,15
2019-08-29,60618,15
2020-09-07,60629,15
2020-01-24,60630,15
2019-06-28,60651,15
2020-07-25,60632,15
2019-05-16,60639,15
2019-08-13,60647,15
2020-01-23,60619,15
2020-01-21,60644,15
2020-01-21,60639,15
2019-03-12,60616,15
2019-10-03,60619,15
2020-02-14,60629,15
2019-02-28,60609,15
2020-02-14,60618,15
2019-10-05,60632,15
2020-10-04,60628,15
2020-09-14,60608,15
2019-03-12,60629,15
2020-10-04,60629,15
2020-06-25,60620,15
2020-02-13,60651,15
2019-08-03,60620,15
2020-02-13,60607,15
2019-03-14,60609,15
2020-10-10,60639,15
2020-06-17,60624,15
2021-01-14,60623,15
2019-01-25,60607,15
2020-12-31,60617,15
2019-02-28,60632,15
2020-09-11,60644,15
2021-01-22,60624,15
2019-03-12,60620,15
2020-10-10,60624,15
2020-06-26,60651,15
2020-10-17,60624,15
2019-04-14,60617,15
2020-05-31,60623,15
2020-08-14,60651,15
2019-06-18,60632,15
2019-06-14,60644,15
2019-11-01,60641,15
2019-03-09,60617,15
2019-06-03,60629,15
2019-09-25,60640,15
2020-08-17,60641,15
2019-03-29,60611,15
2019-05-28,60629,15
2019-05-28,60620,15
2019-05-28,60619,15
2019-06-14,60647,15
2019-09-04,60639,15
2019-11-22,60608,15
2019-07-05,60632,15
2020-05-30,60624,15
2019-09-20,60632,15
2019-03-20,60607,15
2019-06-30,60657,15
2019-10-31,60629,15
2019-09-22,60629,15
2019-07-03,60619,15
2019-06-15,60620,15
2020-11-10,60629,15
2019-09-20,60629,15
2019-08-20,60647,15
2019-09-21,60617,15
2020-07-11,60644,15
2020-07-11,60623,15
2019-07-17,60618,15
2021-02-01,60632,15
2020-08-06,60617,15
2019-03-08,60608,15
2019-07-05,60608,15
2019-05-31,60605,15
2019-11-18,60618,15
2019-11-19,60623,15
2019-09-24,60629,15
2019-11-01,60619,15
2020-05-23,60620,15
2020-05-22,60639,15
2019-11-13,60640,15
2019-06-06,60624,15
2020-08-15,60620,15
2020-08-11,60634,15
2020-08-15,60619,15
2019-07-19,60620,15
2019-03-09,60618,15
2021-02-23,60620,15
2021-02-23,60619,15
2019-12-07,60639,15
2019-11-13,60618,15
2020-05-31,60636,15
2019-08-24,60632,15
2019-07-05,60623,15
2020-05-25,60624,15
2019-02-07,60632,15
2020-07-15,60644,15
2020-05-17,60644,15
2020-08-21,60620,15
2019-07-03,60614,15
2019-11-11,60609,15
2019-01-12,60620,15
2019-11-02,60632,15
2019-01-31,60632,15
2020-11-20,60628,15
2019-10-31,60646,15
2021-01-28,60620,15
2019-09-23,60620,15
2019-10-30,60644,15
